id,id_author,university
0,0,"Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, Brazil"
1,1,"Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, Brazil"
2,2,"Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, Brazil"
3,3,"Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, Brazil"
4,4,"Computer Science Department and Tecgraf Institute, Pontifical Catholic University of Rio de Janeiro - PUC-Rio, Rio de Janeiro, Brasil"
5,5,"Computer Science Department and Tecgraf Institute, Pontifical Catholic University of Rio de Janeiro - PUC-Rio, Rio de Janeiro, Brasil"
6,6,"Computer Science Department and Tecgraf Institute, Pontifical Catholic University of Rio de Janeiro - PUC-Rio, Rio de Janeiro, Brasil"
7,7,"FGV EMAp, Rio de Janeiro, Brazil"
8,8,"IMPA, Rio de Janeiro, Brazil"
9,9,"IMPA, Rio de Janeiro, Brazil"
10,10,"Dept. of Comput., Sao Paulo State Univ., Bauru, Brazil"
11,11,"Department of Computing, São Paulo State University UNESP, Bauru, SP, Brazil"
12,12,"Federal University of Amazonas - UFAM, Institute of Computing - IComp"
13,13,"Universidade Federal do Amazonas, Manaus, AM, BR"
14,14,"Institute of Science and Technology, Universidade Federal de São Paulo (UNIFESP), São José dos Campos, Brazil"
15,15,"Federal Institute of São Paulo, Campinas, Brazil"
16,16,"University of Campinas, Campinas, Brazil"
17,17,"Luiz de Queiroz College of Agriculture, University of Sao Paulo, Piracicaba, Brazil"
18,18,"Institute of Science and Technology, Universidade Federal de São Paulo (UNIFESP), São José dos Campos, Brazil"
19,19,"Instituto de Ciência e Tecnologia, Unversidade Federal de São Paulo, São José dos Campos"
20,20,"Universidade Federal de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR"
21,21,"Instituto de Ciência e Tecnologia, Unversidade Federal de São Paulo, São José dos Campos"
22,22,"Dept. of Comput. Sci., Fed. Inst. of Bahia, Salvador, Brazil"
23,23,"Universidade Federal da Bahia, Salvador, BA, BR"
24,24,"Dept. of Comput. Sci., Fed. Inst. of Bahia, Salvador, Brazil"
25,25,"Computaçáo Brasil, Salvador, BA, Brazil"
26,26,"Department of Computer Science, Londrina State University (UEL), Londrina, PR, Brazil"
27,27,"Department of Computer Science, Londrina State University (UEL), Londrina, PR, Brazil"
28,28,"Universidade Federal do Rio Grande, Rio Grande, RS, BR"
29,29,"Universidade Federal do Rio Grande, Rio Grande, RS, BR"
30,30,"Federal University of Rio Grande, Center for Computational Science - C3 Rio, Grande, Brazil"
31,31,"Intelligent Robotics and Automation Group - NAUTEC, Universidade Federal do Rio Grande - FURG, Rio Grande, Brazil"
32,32,"Intelligent Robotics and Automation Group - NAUTEC, Universidade Federal do Rio Grande - FURG, Rio Grande, Brazil"
33,33,"Universidade Federal do Rio Grande, Rio Grande, RS, BR"
34,34,"Intelligent Robotics and Automation Group - NAUTEC, Universidade Federal do Rio Grande - FURG, Rio Grande, Brazil"
35,35,Universidade Federal do Espírito Santo (UFES)
36,36,Universidade Federal do Espírito Santo (UFES)
37,37,Universidade Federal do Espírito Santo (UFES)
38,38,Universidade Federal do Espírito Santo (UFES)
39,39,Universidade Federal do Espírito Santo (UFES)
40,40,Universidade Federal do Espírito Santo (UFES)
41,41,"Universidade Federal de Ouro Preto, Ouro Preto, MG, BR"
42,42,"Universidade Federal de Ouro Preto, Ouro Preto, MG, BR"
43,43,"Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
44,44,"Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
45,45,"Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
46,46,"Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
47,47,"Adv. Technol., Samsung Res. Inst., Campinas, Brazil"
48,48,"Department of Computer Science, Universidade Federal de Minas, Gerais, Brazil"
49,49,"Department of Computer Science, Universidade Federal de Minas, Gerais, Brazil"
50,50,"Department of Computer Science, Universidade Federal de Minas, Gerais, Brazil"
51,51,"Laboratory of Vision, Robotics and Imaging, Universidade Federal do Paraná, Brazil"
52,52,"Laboratory of Vision, Robotics and Imaging, Universidade Federal do Paraná, Brazil"
53,53,"Department of Computer Science, Universidade Federal de Minas, Gerais, Brazil"
54,54,"Informatics Institute, Federal University of Rio Grande do Sul, Porto Alegre, Brazil"
55,55,"Informatics Institute, Federal University of Rio Grande do Sul, Porto Alegre, Brazil"
56,56,"Voxar Labs - Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil"
57,57,"Voxar Labs - Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil"
58,58,"Voxar Labs - Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil"
59,59,"Universidade Federal Rural de Pernambuco, Recife, PE, BR"
60,60,"Projeto de P&D CIn/Samsung, Universidade Federal de Pernambuco, Recife, Brazil"
61,61,"Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil"
62,62,"Universidade Federal de Pernambuco, Recife, PE, BR"
63,63,"Desenvolvimento para a Informática, Samsung Instituto de, Campinas, Brazil"
64,64,"Universidade Federal da Bahia, Salvador, BA, BR"
65,65,"Federal University of Alagoas - UFAL, Arapiraca, AL, Brazil"
66,66,"University of Groningen, Groningen, The Netherlands"
67,67,"ICMC - USP, São Carlos, SP, Brazil"
68,68,"Universidad Católica San Pablo, Arequipa, Peru"
69,69,"Universidad Católica San Pablo, Arequipa, Peru"
70,70,"University of Washington, Seattle, WA, USA"
71,71,"Fundação Getulio Vargas, Rio De Janeiro, Brazil"
72,72,"Graduate Program in Computer Science, Federal Univ. of Rio Grande do Su1, Porto Alegre, RS, Brazil"
73,73,"Institute of Informatics, Federal Univ. of Rio Grande do Su1, Porto Alegre, RS, Brazil"
74,74,"Institute of Informatics, Federal Univ. of Rio Grande do Su1, Porto Alegre, RS, Brazil"
75,75,"Johann Bernoulli Institute, University of Groningen, the Netherlands"
76,76,"Johann Bernoulli Institute, University of Groningen, the Netherlands"
77,77,"Johann Bernoulli Institute, University of Groningen, the Netherlands"
78,78,"Universidade Federal de Sao Carlos, Sao Carlos, SP, BR"
79,79,"Klinikum Augsburg III, Medizinische Klinik, Augsburg, Germany"
80,80,"Klinikum Augsburg III, Medizinische Klinik, Augsburg, Germany"
81,81,"Klinikum Augsburg III, Medizinische Klinik, Augsburg, Germany"
82,82,"Department of Computing, São Paulo State University, Bauru, Brazil"
83,83,"Regensburg Medical Image Computing, Ostbayerische Technische Hochschule Regensburg, Regensburg, Germany"
84,84,"Regensburg Medical Image Computing, Ostbayerische Technische Hochschule Regensburg, Regensburg, Germany"
85,85,"Department of Computer Science, Federal Institute of Southeast of Minas Gerais, Rio Pomba, MG, Brazil"
86,86,"Department of Computer Science, Federal Institute of Southeast of Minas Gerais, Rio Pomba, MG, Brazil"
87,87,"Radiology and Clinical Neuroscience, University of Calgary, Calgary, Canada"
88,88,"Radiology and Clinical Neuroscience, University of Calgary, Calgary, Canada"
89,89,"Radiology and Clinical Neuroscience, University of Calgary, Calgary, Canada"
90,90,"Institute of Mathematical and Computer Sciences (ICMC), University of São Paulo (USP), São Carlos, SP, Brazil"
91,91,"Institute of Mathematical and Computer Sciences (ICMC), University of São Paulo (USP), São Carlos, SP, Brazil"
92,92,"Instituto de Informática-UFRGS, Porto Alegre, RS, Brazil"
93,93,"Instituto de Informática-UFRGS, Porto Alegre, RS, Brazil"
94,94,"Department of Computer Science, Universidade Federal de Minas Gerais, Minas Gerais"
