id,title,year
0,Construção automática de riscadas – uma aproximação heurística ,1988
1,Estampagem/Estilismo assistidos por computador ,1988
2,Geração automática de padrões para a Indústria Têxtil ,1988
3,Exibição tridimensional de textos em sistemas gráficos padronizados ,1988
4,Ferramentas gráficas do Sistema AMPLO ,1988
5,As ferramentas gráficas do Projeto SEE: um Sistema Especialista Euclidiano ,1988
6,Desenvolvimento de um software para síntese de imagens de facetas curvilíneas em um sistema SITIM ,1988
7,A Família de editores do Sistema AMPLO ,1988
8,O uso de modelos digitais de terreno para compensar o efeito de relevo sobre áreas de reflorestamento em imagens de satélites ,1988
9,Interpolação por funções ponderadas ,1988
10,Traçado vetorial de cônicas ,1988
11,Modelo de dados geo-relacional: uma visão conceitual de um sistema geográfico de informações ,1988
12,Suavização de poligonais que representam curvas de nível de uma superfície: um método que evita intersecções ,1988
13,Conversão varredura-vetor para dados poligonais ,1988
14,SIMTRI: Sistema Interativo para Mapeamento de Isolinhas ,1988
15,Programa gerador de mapas ,1988
16,Um sistema gráfico de apoio à interpretação geológica ,1988
17,Morphological filtering for stripping correction of SPOT images ,1988
18,Interpolação de imagens com Splines Cúbicas ,1988
19,Utilização de transformação IHS para integração de imagens de diferentes resoluções: estudo do uso do solo urbano ,1988
20,Preprocesador de imágenes de alta eficiencia em el nível bajo de procesamiento ,1988
21,Restauração de radioimagens solares: avaliação do mau condicionamento e solução por técnicas de regularização ,1988
22,FILTRIX: um pacote de Software para Filtragem Espacial de Imagens ,1988
23,SEGMETRIX: um pacote de Software para Segmentação de Imagens ,1988
24,Utilização de Modelos Autorregressivos e Média Móvel Multivariados (Modelos Arma Vetoriais) para Segmentação de Imagens de Sensoriamento Remoto ,1988
25,"SARVI: Sistema de Armazenamento, Recuperação e Visualização de Imagens ",1988
26,"Desenvolvimento de uma arquitetura de computador, dedicada para o tratamento de imagem em tomografia por RMN ",1988
27,Desenvolvimento de um sistema para processamento de imagem ,1988
28,Algoritmos para a síntese de cenas através do Método Ray-Tracing ,1988
29,Animação por computador de objectos sintetizados ou adquiridos ,1988
30,SPA – Um sistema extensível para animação modelada ,1988
31,Um rastreador de raios para micros PC ,1988
32,The Programming System IMG for the Processing and Evolution (Understanding) of Picture Information ,1988
33,Visão por computador na indústria transformadora de cortiça: estudo de um caso de classificação automatizada ,1988
34,Desenvolvimento e aplicações de visão por computador ,1988
35,Modelos fractais na inspecção de superfícies naturais ,1988
36,SRIDE - Sistema Reconhecedor de Imagens de Diagramas Elétricos e Eletrônicos ,1988
37,Reconhecimento de padrões bi-dimensionais ,1988
