id,id_author,university
0,0,Departamento de Opto-Electrónica - Empresa de Investigação e Desenvolvimento de Electrónica (EID)/Portugal
1,1,Laboratório Nacional de Engenharia e Tecnologia Industrial (LNETI)/Portugal
2,2,Departamento de Opto-Electrónica - Empresa de Investigação e Desenvolvimento de Electrónica (EID)
3,3,Departamento de Opto-Electrónica - Empresa de Investigação e Desenvolvimento de Electrónica (EID)
4,4,Departamento de Informática – Pontifícia Universidade Católica do Rio de Janeiro (PUC/RJ)
5,5,Centro de Estudos de Engenharia Civil (CESEC) – Universidade Federal do Paraná
6,6,Departamento de Informática – Pontifícia Universidade Católica do Rio de Janeiro (PUC/RJ)
7,7,Academic Medical Center (AMC) of the University of Amsterdam
8,8,Faculdade de Informática (FACIN) da Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)
9,9,Instituto de Informática (INF) da Universidade Federal do Rio Grande do Sul (UFRGS)
10,10,Instituto de Informática (INF) da Universidade Federal do Rio Grande do Sul (UFRGS)
11,11,Departamento de Ciência da Computação do Instituto de Ciências Exatas da Universidade de Brasília (UNB)
12,12,Departamento de Ciência da Computação do Instituto de Ciências Exatas da Universidade de Brasília (UNB)
13,13,"Laboratório de Sinais, Imagens e Computação Gráfica (LSICG) do Departamento de Engenharia Elétrica (DEE) da Universidade Federal da Paraíba (UFPB)"
14,14,"Laboratório de Sinais, Imagens e Computação Gráfica (LSICG) do Departamento de Engenharia Elétrica (DEE) da Universidade Federal da Paraíba (UFPB)"
15,15,Instituto de Informática (INF) da Universidade Federal do Rio Grande do Sul (UFRGS)
16,16,Instituto de Informática (INF) da Universidade Federal do Rio Grande do Sul (UFRGS)
17,17,Divisão de Ciência da Computação nos Programas de Graduação e de Pós-Graduação do Instituto Tecnológico de Aeronáutica (ITA)
18,18,Divisão de Sensoriamento Remoto do Instituto Nacional de Pesquisas Espaciais (INPE)
19,19,Departamento de Pesquisas e Aplicações em Sensoriamento Remoto (DPA) do Instituto Nacional de Pesquisas Espaciais (INPE)
20,20,Departamento de Engenharia Mecânica do Centro Regional de Tecnologia em Informática de Santa Catarina (CERTI) da Universidade Federal de Santa Catarina (UFSC)
21,21,Programa de Engenharia de Sistemas e Computação da COPPE - Universidade Federal do Rio de Janeiro (UFRJ)
22,22,Divisão de Processamento de Imagens  - Instituto Nacional de Pesquisas Espaciais (INPE)
23,23,Divisão de Processamento de Imagens - Instituto Nacional de Pesquisas Espaciais (INPE)
24,24,Divisão de Processamento de Imagens - Instituto Nacional de Pesquisas Espaciais  (INPE)
25,25,Programa de Engenharia de Sistemas e Computação da COPPE - Universidade Federal do Rio de Janeiro (UFRJ)
26,26,Programa de Engenharia de Sistemas e Computação da COPPE - Universidade Federal do Rio de Janeiro (UFRJ)
27,27,Divisão de Processamento de Imagens - Instituto Nacional de Pesquisas Espaciais (INPE)
28,28,Instituto de Ciências Exatas e Biológicas (ICEB) - Universidade Federal de Ouro Preto
29,29,Programa de Engenharia de Sistemas e Computação da COPPE - Universidade Federal do Rio de Janeiro (UFRJ)
30,30,Programa de Engenharia de Sistemas e Computação da COPPE - Universidade Federal do Rio de Janeiro (UFRJ)
31,31,Programa de Engenharia de Sistemas e Computação da COPPE - Universidade Federal do Rio de Janeiro (UFRJ)
32,32,Departamento de Exploração (DEPEX) da PETROBRÁS
33,33,Divisão de Processamento de Imagens (DPI) do Instituto de Pesquisas Espaciais (INPE)
34,34,Departamento de Ciência da Computação da Universidade de São Paulo (USP)
35,35,Departamento de Engenharia Elétrica (DEE) da Universidade Federal de Campina Grande (UFCG)
36,36,Departamento de Engenharia Elétrica (DEE) da Universidade Federal do Rio Grande do Norte (UFRN)
