id,id_paper,name
0,3,Anderson Rocha
1,3,Daniel C. Hauagge
2,3,Jacques Wainer
3,3,Siome Goldenstein
4,4,Ana Paula Brandão Lopes
5,4,Camillo Jorge Santos Oliveira
6,4,Arnaldo de Albuquerque Araújo
7,5,João Henrique Burckas Ribeiro
8,5,Ronaldo Fumio Hashimoto
9,6,P. B. C. Leite
10,6,R. Q. Feitosa
11,6,A. R. Formaggio
12,6,G. A. O. P. Costa
13,6,K. Pakzad
14,6,I. D. A. Sanches
15,7,Darlan N. Brito
16,7,Flávio L. C. Pádua
17,7,Rodrigo L. Carceroni
18,7,Guilherme A. S. Pereira
19,8,Thiago Meireles Paixão
20,8,Ana Beatriz V. Graciano
21,8,Roberto Hirata
22,8,Roberto M. Cesar
23,9,Thiago T. Santos
24,9,Carlos H. Morimoto
25,10,Juliana Gambini
26,10,Damian Rozichner
27,10,María E. Buemi
28,10,Marta Mejail
29,10,Julio Jacobo Berllés
30,11,Alexandre Noma
31,11,Alvaro Pardo
32,11,Roberto M. Cesar
33,12,Paulo Vinicius Koerich Borges
34,12,Ebroul Izquierdo
35,12,Joceli Mayer
36,13,Angélica A. Mascaro
37,13,George D. C. Cavalcanti
38,14,Franklin César Flores
39,14,Roberto de Alencar Lotufo
40,15,Sandra E. F. de Avila
41,15,Antonio da_Luz Jr.
42,15,Arnaldo de A. Araújo
43,15,Matthieu Cord
44,16,R.J. Ferrari
45,16,K.A. Hill
46,16,D.B. Plewes
47,16,A.L. Martel
48,17,Fernanda O. Favretto
49,17,Felipe P. G. Bergo
50,17,Alexandre X. Falcão
51,18,Damián E. Oliva
52,18,Roberto A. Isoardi
53,18,Germán Mato
54,19,Simon Fristed Eskildsen
55,19,Lasse Riis Østergaard
56,20,Vanessa Testoni
57,20,Max H. M. Costa
58,21,Jefersson Alex dos Santos
59,21,Cristiano Dalmaschio Ferreira
60,21,Ricardo da Silva Torres
61,22,Otávio Augusto Bizetto Penatti
62,22,Ricardo da Silva Torres
63,23,Marcelo V. W. Zibetti
64,23,Joceli Mayer
65,23,Fermín S. V. Bazan
66,24,Helena Cristina G. Leitão
67,24,Rafael Felipe V. Saracchini
68,24,Jorge Stolfi
69,25,Leyza Baldo Dorini
70,25,Neucimar Jerônimo Leite
71,26,Leticia Rittner
72,26,Roberto Lotufo
73,27,Alexandre Gonçalves Silva
74,27,Roberto de Alencar Lotufo
75,28,André Vital Saúde
76,29,Thomas Lewiner
77,29,Marcos Craizer
78,30,Marcos Lage
79,30,Alex Bordignon
80,30,Fabiano Petronetto
81,30,Álvaro Veiga
82,30,Geovan Tavares
83,30,Thomas Lewiner
84,30,Hélio Lopes
85,31,Sunil Arya
86,31,Guilherme D. da Fonseca
87,31,David M. Mount
88,32,Mercedes R. Gonzales Márquez
89,32,Shin-Ting Wu
90,33,Pauline Jepp
91,33,Jörg Denzinger
92,33,Brian Wyvill
93,33,Mario Costa Sousa
94,34,Vladimir Alves dos Passos
95,34,Marcelo Walter
96,35,Wallace Lages
97,35,Carlúcio Cordeiro
98,35,Dorgival Guedes
99,36,Alvaro Cuno
100,36,Claudio Esperança
101,36,Antonio Oliveira
102,37,Danilo M. Eler
103,37,Marcel Y. Nakazaki
104,37,Fernando V. Paulovich
105,37,Davi P. Santos
106,37,M. Cristina F. Oliveira
107,37,João E. S. Batista Neto
108,37,Rosane Minghim
109,38,Ricardo Marroquim
110,38,Antonio Oliveira
111,38,Paulo Roma Cavalcanti
112,39,S. Espezua Llerena
113,39,C. D. Maciel
114,40,Jesús P. Mena-Chalco
115,40,Ives Macêdo
116,40,Luiz Velho
117,40,Roberto M. Cesar
