id,id_paper,name
0,0,Renato Gonçalves de Araujo
1,0,Marcelo Gattass
2,0,Marcelo Dreux
3,1,Ricardo B. V. Leitào
4,1,Reynaldo P. Fagundes
5,1,Fábio José Ayres
6,1,Eduardo Toledo Santos
7,1,Marcelo Knorich Zuffo
8,2,Roberto de Beauclair Seixas
9,2,Marcelo Gattass
10,3,Eloísa Bertini
11,3,Mendonça C. F. X. de N.
12,3,J. J. Lunazzi
13,3,P. L. de Geus
14,4,José Ricardo Porto Silva
15,4,Clésio Luis Tozzi
16,5,Paulo Estevão Cruvinel
17,5,Edson Roberto Minatel
18,5,Marcos Luiz Mucheroni
19,5,Sidney Rosa Vieira
20,5,Silvio Crestana
21,6,Jander Moreira
22,6,Luciano da Fontoura Costa
23,7,Gilson Braviano
24,7,Annick Montanvert
25,8,Isabel Harb Manssour
26,8,Carla Maria Dal Sasso Freitas
27,8,Dalc'idio Moraes Claúdio
28,9,Pedro J. de Rezende
29,9,César Nivaldo Gon
30,10,JohanHagman
31,11,Paulo Rech Wagner
32,11,Carla Maria Dal Sasso Freitas
33,11,Flávio Rech Wagner
34,12,José R. A.Torreão
35,13,Júlio Kiyoshi Hasegawa
36,13,Clésio Luis Tozzi
37,14,Díbio LeandroBorges
38,15,Selan Rodrigues dos Santos
39,15,Cati Elisa de Avila Valadão
40,15,Marcelo Dreux
41,16,Luiz Carlos Pacheco Rodrigues Velho
42,16,Luiz Henrique de Figueiredo
43,17,Marcelo Eugênio Kallmann
44,17,Antonio Alberto Fernandes de Oliveira
45,18,Marcelo Walter
46,18,Alain Fournier
47,19,Lenimar Nunes de Andrade
48,19,Shin Ting Wu
49,20,Shin Ting Wu
50,20,Silveira Luiz Gonzaga da Júnior
51,21,Fabiana R. Leta
52,21,Aura Conci
53,21,Djenane Pamplona
54,21,Ivo Pitanguy
55,22,Thomas de AraújoBuck
56,23,José Eduardo C. Castanho
57,23,Clésio Luis Tozzi
58,24,Luiz Cláudio Parzianello
59,24,Mamede Augusto Machado da Silveira
60,24,Sergio Shiguemi Furuie
61,24,Fortunato Antônio Badan Palhares
62,25,Nelson Delfino d'Ávila Mascarenhas
63,25,Saulo Savio Leite Santos
64,25,Paulo Estevão Cruvinel
65,26,Bernardo Piquet Carneiro
66,26,Cláudio T. Silva
67,26,Arie E. Kaufman
68,27,Luiz Fernando Martha
69,27,Marcelo Tílio Monteiro de Carvalho
70,27,Roberto de Beauclair Seixas
71,28,Maurício Riguette Mediano
72,28,Marcelo Gattass
73,28,Marco Antônio Casanova
74,29,Júlio Guido Oliveira Militão
75,29,Paulo Cezar Pinto Carvalho
76,30,Alcione Jandir Candeas
77,30,Braga Ulisses de Mendonça Neto
78,30,Carvalho Edson Costa de Barros Filho
79,31,Ana Lúcia BezerraCandeias
80,32,Carlos Roberto Cunha Fernandes
81,32,Neucimar Jerônimo Leite
82,33,Eduardo Trettel
83,33,Roberto de Alencar Lotufo
84,34,Rogério L. W. Liesenfeld
85,34,Jorge Stolfi
86,35,Marcelo Cohen
87,35,Carla Maria Dal Sasso Freitas
88,35,Flávio Rech Wagner
89,36,Mônica Costa
90,36,Bruno Feijó
91,37,Fábio Rodrigues Costa
92,37,Débora Christina Muchaluat
93,37,Luiz Fernando Gomes Soares
94,37,Souza Guido Lemos de Filho
