id,id_paper,name
0,2,Leandro Henrique Furtado Pinto Silva
1,2,Jocival Dantas Dias Jünior
2,2,João Fernando Mari
3,2,Mauricio Cunha Escarpinati
4,2,André Ricardo Backes
5,3,Frederico Santos de Oliveira
6,3,Marcelo de Carvalho
7,3,Pedro Henrique Tancredo Campos
8,3,Anderson Da Silva Soares
9,3,Arnaldo Cândido Júnior
10,3,Ana Cláudia Rodrigues Da Silva Quirino
11,4,Pimenta Guilherme B. A.
12,4,Dallaqua Fernanda B. J. R.
13,4,Álvaro Fazenda
14,4,Fabio A. Faria
15,5,Mateus De Souza Miranda
16,5,Lucas Fernando Alvarenga e Silva
17,5,Samuel Felipe Dos Santos
18,5,Valdivino Alexandre de Santiago Júnior
19,5,Thales Sehn Körting
20,5,Jurandy Almeida
21,6,Emeson Pereira
22,6,Gustavo Carneiro
23,6,Filipe R. Cordeiro
24,7,Gabriel R. Gonçalves
25,7,Jessica Sena
26,7,William Robson Schwartz
27,7,Carlos Antonio Caetano
28,8,Bruna Dalmoro
29,8,Charles Monteiro
30,8,Soraia Raupp Musse
31,9,Karelia Salinas
32,9,Thales Gonçalves
33,9,Victor Barella
34,9,Thales Vieira
35,9,Luis Gustavo Nonato
36,10,João Paulo Canário
37,10,Otávio Ribeiro
38,10,Ricardo Rios
39,11,Yu Tzu Wu
40,11,Eric Fujiwara
41,11,Carlos K. Suzuki
42,12,Welerson Melo
43,12,Guilherme Potje
44,12,Felipe Cadar
45,12,Renato Martins
46,12,Erickson R. Nascimento
47,13,Luis E. Ortiz-Fernandez
48,13,Bruno M. F. Silva
49,13,Luiz M. G. Gonçalves
50,14,Danilo Barros Cardoso
51,14,Luiza C.B. Campos
52,14,Erickson R. Nascimento
53,15,Isabela B. Barcelos
54,15,Felipe De C. Belém
55,15,Leonardo De M. João
56,15,Alexandre X. Falcão
57,15,Guimarães Silvio J. F.
58,16,Bruno Nascimento
59,16,Marcos Ribeiro
60,16,Laércio Silva
61,16,Nayara Capobiango
62,16,Michel Silva
63,17,Williana L. S. Leite
64,17,Roger M. Sarmento
65,17,Carlos M. J. M. Dourado Junior
66,18,José Neto
67,18,Nicksson Arrais
68,18,Tiago Vinuto
69,18,João Lucena
70,19,Murilo Costa de Barros
71,19,Kaue Tn Duarte
72,19,Wang-Tso Lee
73,19,Chia-Jui Hsu
74,19,Marco Antonio G de Carvalho
75,20,Kauê Tn Duarte
76,20,David G Gobbi
77,20,Abhijot S Sidhu
78,20,Cheryl R McCreary
79,20,Feryal Saad
80,20,Nita Das
81,20,Eric E Smith
82,20,Richard Frayne
83,21,Jefferson Fontinele Da Silva
84,21,Bernardo Silva
85,21,Luciano Oliveira
86,22,Danilo Samuel Jodas
87,22,Leandro Aparecido Passos
88,22,Giuliana Del Nero Velasco
89,22,Mariana Hortelani Carneseca Longo
90,22,Aline Ribeiro Machado
91,22,João Paulo Papa
92,23,Guilherme Brandão Martins
93,23,João Paulo Papa
94,24,Gabriel Henrique Moro
95,24,Marcelo de Gomensoro Malheiros
96,24,Marcelo Walter
97,25,André Ricardo Backes
98,26,Filomen Incahuanaco Quispe
99,26,Afonso Paiva
100,27,Chafic Abou Akar
101,27,Jimmy Tekli
102,27,Daniel Jess
103,27,Mario Khoury
104,27,Marc Kamradt
105,27,Michael Guthe
106,28,Daniel Perazzo
107,28,João Paulo Lima
108,28,Luiz Velho
109,28,Veronica Teichrieb
110,29,Dennis Giovani Balreira
111,29,Luiz Henrique De Figueiredo
112,29,Márcio Volkweis
113,29,Marcelo Walter
114,30,Hermes H. Ferreira
115,30,Eduardo S. L. Gastal
116,31,Hallison Paz
117,31,Tiago Novello
118,31,Vinicius Silva
119,31,Guilherme Schardong
120,31,Luiz Schirmer
121,31,Fabio Chagas
122,31,Helio Lopes
123,31,Luiz Velho
124,32,Jose Luis Flores Campana
125,32,Luís Gustavo Lorgus Decker
126,32,Marcos Roberto e Souza
127,32,Helena de Almeida Maia
128,32,Helio Pedrini
129,33,Guilherme Brandão Martins
130,33,João Paulo Papa
131,34,Letícia C. Navarro
132,34,Lucas L. Amorim
133,34,Rodrigo Berriel
134,34,Thiago M. Paixão
135,34,Vinicius Rampinelli
136,34,Luiz A. Wasem
137,34,Lucas Quaresma
