id,id_author,university
0,0,"Laboratório de Computaçao Gráfica (LCG) - COPPE - UFRJ, Brazil"
1,1,"Laboratório de Computaçao Gráfica (LCG) - COPPE - UFRJ, Brazil"
2,3,"Laboratório de Computaçao Gráfica (LCG) - COPPE - UFRJ, Brazil"
3,4,"Department of Mathematics, PUC-Rio, Rio de Janeiro, Brazil"
4,5,"Department of Computer Science, UFPE, Pernambuco, Brazil"
5,6,"Department of Computer Science, PUC-Rio, Rio de Janeiro, Brazil"
6,7,"Department of Computer Science, UFPE, Pernambuco, Brazil"
7,8,"Institute of Mathematics, UFBA, Salvador, Brazil"
8,9,"Institute of Mathematics, UFAL, Maceio, Brazil"
9,10,"Departamento de computação, CRAb, UFC, Fortaleza, Brazil"
10,11,"Departamento de computação, CRAb, UFC, Fortaleza, Brazil"
11,12,"Departamento de computação, CRAb, UFC, Fortaleza, Brazil"
12,13,"Zuse Institute Berlin, Berlin, Germany"
13,14,"Zuse Institute Berlin, Berlin, Germany"
14,15,"Zuse Institute Berlin, Berlin, Germany"
15,16,"Institute of Computer Science, Jagiellonian University, Krakow, Poland"
16,17,"Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil"
17,18,"Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil"
18,19,"Institute of Computing, Unicamp, State University of Campinas-UNICAMP, Campinas, Sao Paulo, Brazil"
19,20,"Institute of Computing, Unicamp, State University of Campinas-UNICAMP, Campinas, Sao Paulo, Brazil"
20,21,"Graduate Programme in Computer Science, Virtual Human Laboratory, Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre, Brazil"
21,22,"Graduate Programme in Computer Science, Virtual Human Laboratory, Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre, Brazil"
22,23,"Departamento de Matemática, ICIMAF, Havana, Cuba"
23,24,"Departamento de Matemática, ICIMAF, Havana, Cuba"
24,25,"Departamento de Matemática, ICIMAF, Havana, Cuba"
25,26,"Visgraf Laboratory, IMPA, Rio de Janeiro, Brazil"
26,27,"Instituto de Matemática, UFAL, Maceio, Brazil"
27,28,"INRIA, Grenoble University, France"
28,29,"IMPA, Brazil"
29,30,"INRIA, Grenoble University, France"
30,31,"LIRIS, CNRS, University of Lyon I, France"
31,32,"INRIA, Grenoble University, France"
32,33,"IMPA-Instituto Nacional de Matemática Pura e Aplicada, Rio de Janeiro, Brazil"
33,35,"IMPA-Instituto Nacional de Matemática Pura e Aplicada, Rio de Janeiro, Brazil"
34,36,"ICMC, USP, Brazil"
35,36,ICMC–USP
36,38,"IMPA, Brazil"
37,38,IMPA
38,39,"University of Calgary, Canada"
39,40,"PPGC-Instituto de Informática, UFRGS, Porto Alegre, Brazil"
40,41,"PPGC-Instituto de Informática, UFRGS, Porto Alegre, Brazil"
41,42,"PPGC-Instituto de Informática, UFRGS, Porto Alegre, Brazil"
42,43,"Tecgraf/PUC-Rio-Computer Science Department, Pontifical Catholic University of Rio de Janeiro, Brazil"
43,44,"Tecgraf/PUC-Rio-Computer Science Department, Pontifical Catholic University of Rio de Janeiro, Brazil"
44,45,"Tecgraf/PUC-Rio-Computer Science Department, Pontifical Catholic University of Rio de Janeiro, Brazil"
45,46,"Tecgraf/PUC-Rio-Computer Science Department, Pontifical Catholic University of Rio de Janeiro, Brazil"
46,47,"Tecgraf/PUC-Rio-Computer Science Department, Pontifical Catholic University of Rio de Janeiro, Brazil"
47,48,"School of Electrical and Computer Engineering, University of Campinas, Campinas, Brazil"
48,49,"School of Electrical and Computer Engineering, University of Campinas, Campinas, Brazil"
49,51,"Institute of Computing Unicamp, Campinas, Brazil"
50,52,"Universidade Estadual de Campinas, Campinas, SP, BR"
51,53,"Universidade Estadual de Campinas, Campinas, SP, BR"
52,54,"School of Business Administration University of Miami, Miami, USA"
53,55,"ICMC/SME, Universidade de Sáo Paulo, Sao Carlos, Sao Paulo, Brazil"
54,56,"ICMC/SME, Universidade de Sáo Paulo, Sao Carlos, Sao Paulo, Brazil"
55,57,"ICMC/SME, Universidade de Sáo Paulo, Sao Carlos, Sao Paulo, Brazil"
56,58,"ICMC/SME, Universidade de Sáo Paulo, Sao Carlos, Sao Paulo, Brazil"
57,59,"ICMC/SME, Universidade de Sáo Paulo, Sao Carlos, Sao Paulo, Brazil"
58,60,"ICMC/SME, Universidade de Sáo Paulo, Sao Carlos, Sao Paulo, Brazil"
59,61,"Tecgraf/PUC-Rio-Computer Science Department, Pontifical Catholic University of Rio de Janeiro, Brazil"
60,62,"Tecgraf/PUC-Rio-Computer Science Department, Pontifical Catholic University of Rio de Janeiro, Brazil"
61,63,"Departamento de Engineering de Teleinformática, Universidade Federal do Cearà, Fortaleza, Ceara, Brazil"
