"Graduate Program in Computer Science, Pontifical Catholic University of Rio Grande do Sul"
"Graduate Program in Psychology, Pontifical Catholic University of Rio Grande do Sul"
"School of Electrical and Computer Engineering, University of Campinas, Campinas, Brazil"
Institute of Informatics
Institute of Mathematics - Universidade Federal do Rio Grande do Sul
"São Paulo State University (UNESP), Presidente Prudente, SP, Brazil"
"São Paulo State University (UNESP), Rio Claro, SP, Brazil"
Universidade Federal Fluminense
Universidade Federal de Pernambuco
Kohn Pedersen Fox Associates PC
"CDTec - Federal University of Pelotas Pelotas, Rio Grande do Sul, Brazil"
"Instituto de Informatica, Federal University of Rio Grande do Sul, Porto Alegre, Brazil"
"Universidade Federal do Pampa, Alegrete, Rio Grande do Sul, Brasil"
"Depart. of Informatics, Federal University of Paraná, Curitiba, PR, Brazil"
"unico - idTech, Brazil"
"Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil"
"Federal Institute of Mato Grosso (IFMT), Pontes e Lacerda, Brazil"
"Institute of Informatics, Federal University of Rio Grande do Sul"
SENAI Innovation Institute for Integrated Solutions in Metalmechanics
"Department of Computing, Visual Computing Lab, Universidade Federal Rural de Pernambuco (UFRPE), Brazil"
"Centro de Informatica - CIn, Universidade Federal de Pernambuco (UFPE), Brazil"
"Center for Excellence in Social Technologies (NEES), Federal University of Alagoas, Brazil"
"Department of Computer Science, Federal University of Juiz de Fora, Juiz de Fora, Brazil"
"ICOMP - Institute of Computing, Federal University of Amazonas, Manaus, Amazonas"
"University of São Paulo (USP), São Carlos - SP, Brazil"
"University of Campinas (UNICAMP), Campinas, SP, Brazil"
"Computer Science Center (C3), Federal University of Rio Grande (FURG), Brazil"
"Center for Social and Technological Sciences (PGEEC), Catholic University of Pelotas (UCPEL), Brazil"
"Mathematics and Statistics Department, Federal University of Pelotas"
"Federal University of Santa Maria, Santa Maria, Brazil"
"Institute of Geosciences and Exact Sciences, São Paulo State University, Rio Claro, Sao Paulo, Brazil"
"Departamento de Computação, Universidade Federal Rural de Pernambuco, Recife, PE, Brazil"
"Voxar Labs-Centro de Informática, Universidade Federal de Pernambuco, Recife, PE, Brazil"
"Center for Computational Science (C3), Federal University of Rio Grande (FURG), Rio Grande, Brazil"
"Center for Computational Science-C3, Universidade Federal do Rio Grande - FURG, Rio Grande, Brazil"
"Department of Computing, Universidade Federal Rural de Pernambuco, Recife, Brazil"
"Department of Computing, Visual Computing Lab, Universidade Federal Rural de Pernambuco, Recife, Brazil"
"Alegrete, Federal University of Pampa (UNIPAMPA), RS, Brazil"
"Bagé, RS, Brazil"
"Institute of Computing, University of Campinas (UNICAMP), Brazil"
"Department of Computing, Federal University of são Carlos (UFSCar), Brazil"
"Computing Department, São Paulo State University (UNESP), Bauru, Brasil"
"Universidade Federal Fluminense (UFF), Niterói, Brazil"
"School of Arts, Sciences and Humanities University of São Paulo, São Paulo, Brazil"
"Department of Computer Science, Universidade Federal de Minas Gerais, Brazil"
"Venturus - Innovation & Technology, Campinas, SP, Brazil"
"Institute of Computing, University of Campinas, Campinas, SP, Brazil"
Federal University of ABC - UFABC - Brazil
