"description","estado","sigla","regiao","IA"
"IFSC, Universidade de São Paulo, São Carlos, SP, Brasil",São Paulo,SP,Sudeste
"IFSC, Universidade de São Paulo, São Carlos, SP, Brasil",São Paulo,SP,Sudeste
"IFSC, Universidade de São Paulo, São Carlos, SP, Brasil",São Paulo,SP,Sudeste
"Universidade de Saão Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"IFSC, Universidade de São Paulo, São Carlos, SP, Brasil",São Paulo,SP,Sudeste
"Universidade de Saão Paulo, Sao Paulo, Brazil",São Paulo,SP,Sudeste
"IFSC, Universidade de São Paulo, São Carlos, SP, Brasil",São Paulo,SP,Sudeste
"Universidade de Mogi das Cruzes, Mogi das Cruzes, SP, Brasil",São Paulo,SP,Sudeste
"Department of Electrical Engineering, University Federal da Paraiba, Campina Grande, Paraiba, Brazil",Paraíba,PB,Nordeste
"Department of Electrical Engineering, University Federal da Paraiba, Campina Grande, Paraiba, Brazil",Paraíba,PB,Nordeste
"Departamento de Ciência da Computação, UFMG/ICEx/DCC/NPDI, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departamento de Ciência da Computação, UFMG/ICEx/DCC/NPDI, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departamento de Ciência da Computação, UFMG/ICEx/DCC/NPDI, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"Departamento de Ciência da Computação, UFMG/ICEx/DCC/NPDI, Belo Horizonte, Minas Gerais, Brazil",Minas Gerais,MG,Sudeste
"DCA-FEEC-UNICAMP, Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"DCA-FEEC-UNICAMP, Universidade Estadual de Campinas (UNICAMP), Sao Paulo, Brazil",São Paulo,SP,Sudeste
"DCMM, PUC-Rio, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
"DCMM, PUC-Rio, Rio de Janeiro, Brazil",Rio de Janeiro,RJ,Sudeste
