id,id_paper,reference
0,4,"M. Bondi, W. Houston, L. Eyler, and G. Brown, ""fmri evidence of compensatory mechanisms in older adults at genetic risk for alzheimer disease,"" Neurology, vol. 64, no. 3, pp. 501-508, 2005. (Pubitemid 40189870)"
1,4,"J. Acosta-Cabronero, G. Williams, J. Pereira, G. Pengas, and P. Nestor, ""The impact of skull-stripping and radio-frequency bias correction on grey-matter segmentation for voxel-based morphometry,"" Neuroimage, vol. 39, no. 4, pp. 1654-1665, 2007."
2,4,"R. Desikan, H. Cabral, B. Fischl, C. Giittniann, D. Blacker, B. Hyman, M. Albert, and R. Killiany, ""Temporoparietal nir imaging measures of atrophy in subjects with mild cognitive impairment that predict subsequent diagnosis of alzheimer disease,"" American Journal of Neuroradiology, vol. 30, no. 3, pp. 532-538, 2009."
3,4,"J. Acosta-Cabronero, G. Williams, G. Pengas, and P. Nestor, ""Absolute diffusivities define the landscape of white matter degeneration in alzheimer's disease,"" Brain, vol. 133, no. 2, pp. 529-539, 2010."
4,4,"J. Arnold, J. Liow, K. Schaper, J. Stem, J. Sled, D. Shattuck, A. Worth, M. Cohen, R. Leahy, J. Mazziotta, and D. Rottenberg, ""Qualitative and quantitative evaluation of six algorithms for correcting intensity nonuniformity effects,"" Neurolmage, vol. 13, no. 5, pp. 931-943, 2001. (Pubitemid 32848337)"
5,4,"U. Vovk, F. Pernus, and B. Likar, ""A review of methods for correction of intensity inhomogeneity in MRI,"" IEEE Transactions on Medical Imaging, vol. 26, no. 3, pp. 405-421, 2007. (Pubitemid 46392348)"
6,4,"R. Boyes, J. Gunter, C. Frost, A. Janke, T. Yeatman, D. Hill, M. Bernstein, P. Thompson, M. Weiner, N. Schuff et al, ""Intensity non-uniformity correction using n3 on 3-t scanners with multichannel phased array coils,"" Neuroimage, vol. 39, no. 4, pp. 1752-1762, 2008."
7,4,"J. Sled, A. Zijdenbos, and A. Evans, ""A nonparametric method for automatic correction of intensity nonuniformity in MRI data,"" IEEE Transactions on Medical Imaging, vol. 17, no. 1, pp. 87-97, 1998. (Pubitemid 128742012)"
8,4,"K. Boesen, K. Rehm, K. Schaper, S. Stoltzner, R. Woods, E. Luders, and D. Rottenberg, ""Quantitative comparison of four brain extraction algorithms,"" Neurolmage, vol. 22, no. 3, pp. 1255-1261, 2004. (Pubitemid 38829214)"
9,4,"C. Fennema-Notestine, I. Ozyurt, C. Clark, S. Morris, A. Bischoff-Grethe, M. Bondi, T. Jernigan, B. Fischl, F. Segonne, D. Shattuck, R. Leahy, D. Rex, A. Toga, K. Zou, M. BIRN, and G. Brown, ""Quantitative evaluation of automated skull-stripping methods applied to contemporary and legacy images: Effects of diagnosis, bias correction, and slice location,"" Human brain mapping, vol. 27, no. 2, pp. 99-113, 2006. (Pubitemid 43238483)"
10,4,"S. Smith, ""Fast robust automated brain extraction,"" Human Brain Mapping, vol. 17, no. 3, pp. 143-155, 2002. (Pubitemid 35253488)"
11,4,"F. Cappabianco, J. Udupa, G. Araujo, and A. Falcao, ""Brain Tissue MR-Image Segmentation via Optimum-Path Forest Clustering,"" in Workshops of Sibgrapi 2011 - Theses and Dissertations, D. M. Adelailson Peixoto and T. Vieira, Eds. Maceio, AL: SBC, august 2011, pp. 19-24. [Online]. Available: http://www.im.ufal.br/evento/sibgrapi2011/"
12,4,"P. Miranda, A. Falcao, and J. Udupa, ""Cloud bank: A multiple clouds model and its use in MR brain image segmentation,"" in IEEE ISBI, June 2009, pp. 506-509."
13,4,"A. Madabhushi and J. Udupa, ""Interplay between intensity standardization and inhomogeneity correction in MR image processing,"" IEEE Transactions on Medical Imaging, vol. 24, no. 5, pp. 561-576, 2005. (Pubitemid 40680118)"
14,4,"L. Dice, ""Measures of the amount of ecologic association between species,"" Ecology, vol. 26, pp. 297-302, 1945."
15,4,"J. Udupa, V. LeBlanc, Y. Zhuge, C. Imielinska, H. Schmidt, L. Currie, B. Hirsch, and J. Woodburn, ""A framework for evaluating image segmentation algorithms,"" Computerized Medical Imaging and Graphics, vol. 30, no. 2, pp. 75-87, 2006."
16,4,"D. Shattuck, S. Sandor-Leahy, K. Schaper, D. Rottenberg, and R. Leahy, ""Magnetic resonance image tissue classification using a partial volume model,"" Neurolmage, vol. 13, no. 5, pp. 856-876, 2001. (Pubitemid 32848331)"
17,4,"F. Segonne, A. Dale, E. Busa, M. Glessner, D. Salat, H. Hahn, and B. Fischl, ""A hybrid approach to the skull stripping problem in MRI,"" Neuroimage, vol. 22, no. 3, pp. 1060-1075, 2004. (Pubitemid 38829195)"
18,4,"M. Bondi, W. Houston, L. Eyler, and G. Brown, ""fmri evidence of compensatory mechanisms in older adults at genetic risk for alzheimer disease,"" Neurology, vol. 64, no. 3, pp. 501-508, 2005. (Pubitemid 40189870)"
19,4,"J. Acosta-Cabronero, G. Williams, J. Pereira, G. Pengas, and P. Nestor, ""The impact of skull-stripping and radio-frequency bias correction on grey-matter segmentation for voxel-based morphometry,"" Neuroimage, vol. 39, no. 4, pp. 1654-1665, 2007."
20,4,"R. Desikan, H. Cabral, B. Fischl, C. Giittniann, D. Blacker, B. Hyman, M. Albert, and R. Killiany, ""Temporoparietal nir imaging measures of atrophy in subjects with mild cognitive impairment that predict subsequent diagnosis of alzheimer disease,"" American Journal of Neuroradiology, vol. 30, no. 3, pp. 532-538, 2009."
21,4,"J. Acosta-Cabronero, G. Williams, G. Pengas, and P. Nestor, ""Absolute diffusivities define the landscape of white matter degeneration in alzheimer's disease,"" Brain, vol. 133, no. 2, pp. 529-539, 2010."
22,4,"J. Arnold, J. Liow, K. Schaper, J. Stem, J. Sled, D. Shattuck, A. Worth, M. Cohen, R. Leahy, J. Mazziotta, and D. Rottenberg, ""Qualitative and quantitative evaluation of six algorithms for correcting intensity nonuniformity effects,"" Neurolmage, vol. 13, no. 5, pp. 931-943, 2001. (Pubitemid 32848337)"
