id,id_author,university
0,0,"UFRGS Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, Brazil"
1,1,"Ciências Exatas e Tecnológicas, UNISINOS-Universidade do Vale do Rio dos Sinos, Sao Leopoldo, Rio Grande do Sul, Brazil"
2,2,"Departamento de Engenharia Elétrica, Universidade de Brasília, Brasília, DF, Brasil"
3,3,"Departamento de Engenharia Elétrica, Universidade de Brasília, Brasília, DF, Brasil"
4,4,"Departamento de Engenharia Elétrica, Universidade de Brasília, Brasília, DF, Brasil"
5,4,"Universidade de Brasilia, Brasilia, DF, BR"
6,5,"Departamento de Engenharia Eletrica, Brasilia Univ., Brazil"
7,6,"Departamento de Engenharia Elétrica, Universidade de Brasília, Brasília, DF, Brasil"
8,7,"Universidade Federal de Minas Gerais Av. Antônio Carlos, Belo Horizonte, MG, Brazil"
9,8,"Universidade Federal de Minas Gerais Av. Antônio Carlos, Belo Horizonte, MG, Brazil"
10,9,"Universidade Federal de Minas Gerais Av. Antônio Carlos, Belo Horizonte, MG, Brazil"
11,10,"Universidade Federal de Minas Gerais Av. Antônio Carlos, Belo Horizonte, MG, Brazil"
12,11,"Universidade Federal de Minas Gerais Av. Antônio Carlos, Belo Horizonte, MG, Brazil"
13,12,"Universidade Federal de Minas Gerais Av. Antônio Carlos, Belo Horizonte, MG, Brazil"
14,12,"Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
15,13,"Univ. Fed. de Minas Gerais, Belo Horizonte, Brazil"
16,14,"Universidade Federal de Minas Gerais Av. Antônio Carlos, Belo Horizonte, MG, Brazil"
17,15,"Department de Tecnologia da Informação, Universidade Federal de Alagoas, Maceio, Alagoas, Brazil"
18,16,"Department de Tecnologia da Informação, Universidade Federal de Alagoas, Maceio, Alagoas, Brazil"
19,17,"Department de Tecnologia da Informação, Universidade Federal de Alagoas, Maceio, Alagoas, Brazil"
20,18,"Department of Physiology and Biophysics, Mayo Clinic College of Medicine, Rochester, MN, USA"
21,19,"Department of Physiology and Biophysics, Mayo Clinic College of Medicine, Rochester, MN, USA"
22,20,"Department of Physiology and Biophysics, Mayo Clinic College of Medicine, Rochester, MN, USA"
23,21,"ADETTI/ISCTE, Associaçcãao para o Desenvolvimento das TelecomunicaçcMoes e Téecnicas de Informáatica, Edifíicio ISCTE, Lisboa, Portugal"
24,22,"ADETTI/ISCTE, Associaçcãao para o Desenvolvimento das TelecomunicaçcMoes e Téecnicas de Informáatica, Edifíicio ISCTE, Lisboa, Portugal"
25,23,"ADETTI/ISCTE, Associaçcãao para o Desenvolvimento das TelecomunicaçcMoes e Téecnicas de Informáatica, Edifíicio ISCTE, Lisboa, Portugal"
26,24,"ADETTI/ISCTE, Associaçcãao para o Desenvolvimento das TelecomunicaçcMoes e Téecnicas de Informáatica, Edifíicio ISCTE, Lisboa, Portugal"
27,25,"LPDS-Digital Signal Processing Research Laboratory-Department of Electrical Engineering, Federal University of Santa Catarina, Santa Catarina, Brazil"
28,26,"LPDS-Digital Signal Processing Research Laboratory-Department of Electrical Engineering, Federal University of Santa Catarina, Santa Catarina, Brazil"
29,27,"Universidade Federal de Uberlândia, Brazil"
30,28,"Universidade Federal de Uberlândia, Brazil"
31,29,"Universidade Federal de Uberlândia, Uberlandia, Minas Gerais, Brazil"
32,30,"Universidade Federal de Uberlândia, Uberlandia, Minas Gerais, Brazil"
33,31,"DCA, UNICAMP, Campinas, SP, Brazil"
34,31,"DCC - CCT—Centro de Ciências Tecnológicas - UDESC, Joinville, SC, Brazil"
35,31,"Universidade Estadual de Campinas, Campinas, SP, BR"
36,32,"DCA, UNICAMP, Campinas, Brazil"
37,33,"Institute of Computing, State University of Campinas, Sao Paulo, Brazil"
38,34,"Institute of Computing, State University of Campinas, Sao Paulo, Brazil"
39,35,"Institute of Computing, State University of Campinas, Sao Paulo, Brazil"
40,36,"Ciéncias Exatas e Tecnológicas, UNISINOS-Universidade do Vale do Rio dos Sinos, Sao Leopoldo, Rio Grande do Sul, Brazil"
41,37,"Ciéncias Exatas e Tecnológicas, UNISINOS-Universidade do Vale do Rio dos Sinos, Sao Leopoldo, Rio Grande do Sul, Brazil"
42,38,"Coordenação de Pós-Graduação em Engenharia Elétrica, UFCG - Universidade Federal de Campina Grande, Campina Grande, PB, Brazil"
43,39,"UFCG Universidade Federal de Campina Grande, Curitiba, Parana, Brazil"
44,39,"PUCPR - Pontificia Universidade Catolica do Parana, Curitiba, PR, Brazil"
45,41,"Coordenação de Pós-Graduação em Engenharia Elétrica, UFCG - Universidade Federal de Campina Grande, Campina Grande, PB, Brazil"
46,42,"Éts - Ecole de Technologie Superieure, Montreal, QC, Canada"
47,43,"Rua Imaculada Conceição, Pontíficia Universidade Católica do Paraná PUCPR, Curitiba, Parana, Brazil"
48,44,"Rua Imaculada Conceição, Pontíficia Universidade Católica do Paraná PUCPR, Curitiba, Parana, Brazil"
49,45,"DCC Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil"
50,46,"FCEyN, Departamento de Computación, Universidad de Buenos Aires, Buenos Aires, Argentina"
51,47,"FCEyN, Departamento de Computación, Universidad de Buenos Aires, Buenos Aires, Argentina"
52,48,"FCEyN, Departamento de Computación, Universidad de Buenos Aires, Buenos Aires, Argentina"
53,49,"FCEyN, Departamento de Computación, Universidad de Buenos Aires, Buenos Aires, Argentina"
54,50,"Instituto de Física de São Carlos, Universidade de Sáo Paulo, Sao Paulo, Brazil"
55,51,"Instituto de Física de São Carlos, Universidade de Sáo Paulo, Sao Paulo, Brazil"
56,52,"Departamento de Computação, Universidade Federal de São Carlos, Sao Paulo, Brazil"
57,53,"UNISINOS Universidade do Vale do Rio dos Sinos, Sao Leopoldo, Rio Grande do Sul, Brazil"
58,54,"UNISINOS Universidade do Vale do Rio dos Sinos, Sao Leopoldo, Rio Grande do Sul, Brazil"
59,55,"Campinas - UNICAMP, Campinas, Brazil"
60,56,"UNICAMP - State University of Campinas, Campinas, São Paulo, Brazil"
61,57,"Faculty of Electrical and Computer Engin., State University of Campinas-UNICAMP, Sao Paulo, Brazil"
62,58,"Faculty of Electrical and Computer Engin., State University of Campinas-UNICAMP, Sao Paulo, Brazil"
63,59,"Institute of Computing, State University of Campinas-UNICAMP, Sao Paulo, Brazil"
64,60,"Departamento de Ciência da Computação, Univ. Federal de Minas Gerais, Belo Horizonte, MG, Brazil"
65,61,"Centro de Desenv. da Tecnologia Nuclear, Belo Horizonte, MG"
66,62,"Departamento de Ciência da Computação, Univ. Federal de Minas Gerais, Belo Horizonte, MG, Brazil"
67,64,"Department of Informatics, State University of Maringá, Maringá, PR, Brazil"
68,65,"Department of Informatics, State University of Maringá, Maringá, PR, Brazil"
69,67,"Universidade de Fortaleza (Unifor), Fortaleza, Brazil"
70,68,"IME-Instituto de Matemática e Estatística, USP-Universidade de São Paulo, Sao Paulo, Brazil"
71,69,"IME-Instituto de Matemática e Estatística, USP-Universidade de São Paulo, Sao Paulo, Brazil"
72,70,"IME-Instituto de Matemática e Estatística, USP-Universidade de São Paulo, Sao Paulo, Brazil"
73,71,"Departamento de Informática, Centro Federal de Educação Tecnológica, Manaus, Brazil"
74,72,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil"
75,73,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil"
76,74,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil"
77,75,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil"
78,76,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil"
79,77,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil"
80,78,"Instituto de Computação, Universidade Federal Fluminense, Niteroi, Rio de Janeiro, Brazil"
81,78,"Pós-Graduação em Informática Aplicada, Pontifícia Universidade Católica do Paraná, Curitiba, Parana, Brazil"
82,79,"Instituto de Computação, Universidade Federal Fluminense, Niteroi, Rio de Janeiro, Brazil"
