id,id_paper,reference
0,4,"S. Rabi and P. Aarabi, ""Face fusion: An automatic method for virtual plastic surgery,"" in 2006 9th International Conference on Information Fusion, Jul. 2006, pp. 1-7"
1,4,"T. Oliveira-Santos, C. Baumberger, M. Constantinescu, R. Olariu, L.-P. Nolte, S. Alaraibi, and M. Reyes, ""3D face reconstruction from 2D pictures: First results of a web-based computer aided system for aesthetic procedures,"" Annals of biomedical engineering, Jan. 2013, PMID: 23319167"
2,4,"F. I. Parke, ""A parametric model for human faces."" Ph.D. dissertation, The University of Utah, 1974, AAI7508697"
3,4,"R. Zhang, P.-S. Tsai, J. E. Cryer, and M. Shah, ""Shape from shading: A survey,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 21, no. 8, p. 690706, 1999"
4,4,"T. Jebara, A. Azarbayejani, and A. Pentland, ""3D structure from 2D motion,"" Signal Processing Magazine, IEEE, vol. 16, no. 3, pp. 66-84, May 1999"
5,4,"L. Torresani, A. Hertzmann, and C. Bregler, ""Nonrigid structure-frommotion: Estimating shape and motion with hierarchical priors,"" Pattern Analysis and Machine Intelligence, vol. 30, no. 5, pp. 878-892, May 2008"
6,4,"D. Fidaleo and G. Medioni, ""Model-assisted 3D face reconstruction from video,"" in Analysis and Modeling of Faces and Gestures, ser. Lecture Notes in Computer Science, S. K. Zhou, W. Zhao, X. Tang, and S. Gong, Eds. Springer Berlin Heidelberg, Jan. 2007, no. 4778, pp. 124-138"
7,4,"V. Blanz and T. Vetter, ""A morphable model for the synthesis of 3D faces,"" in Proceedings of the 26th annual conference on Computer graphics and interactive techniques, NY, USA, 1999, pp. 187-194"
8,4,"V. Blanz, A. Mehl, T. Vetter, and H.-P. Seidel, ""A statistical method for robust 3D surface reconstruction from sparse data,"" in 3D Data Processing, Visualization and Transmission, Sep. 2004, pp. 293-300"
9,4,"T. Beeler, B. Bickel, P. Beardsley, B. Sumner, and M. Gross, ""Highquality single-shot capture of facial geometry,"" ACM Trans. Graph., vol. 29, no. 4, pp. 40:1-40:9, Jul. 2010"
10,4,"P. Garrido, L. Valgaerts, C. Wu, and C. Theobalt, ""Reconstructing detailed dynamic face geometry from monocular video,"" in ACM Transactions on Graphics (Proceedings of SIGGRAPH Asia 2013), vol. 32, no. 6, November 2013, pp. 158:1-158:10"
11,4,"T. Neumann, K. Varanasi, S. Wenger, M. Wacker, M. Magnor, and C. Theobalt, ""Sparse localized deformation components,"" ACM Trans. Graph., vol. 32, no. 6, pp. 179:1-179:10, Nov. 2013"
12,4,"S. Gupta, S. Kapoor, and P. Gupta, ""Synthesis of a face image at a desired pose from a given pose,"" Pattern Recogn. Lett., vol. 33, no. 14, pp. 1942-1950, Oct. 2012"
13,4,"D. Yi, Z. Lei, and S. Z. Li, ""Towards pose robust face recognition,"" in CVPR, 2013, pp. 3539-3545"
14,4,"D. S?anchez-Escobedo and M. Castel?an, ""3d face shape prediction from a frontal image using cylindrical coordinates and partial least squares,"" Pattern Recognition Letters, vol. 34, no. 4, pp. 389-399, 2013"
15,4,"Y. Wu, Z. Wang, and Q. Ji, ""Facial feature tracking under varying facial expressions and face poses based on restricted boltzmann machines,"" in Proceedings of the 2013 IEEE Conference on Computer Vision and Pattern Recognition, ser. CVPR '13. Washington, DC, USA: IEEE Computer Society, 2013, pp. 3452-3459"
16,4,"A. Lanitis, C. Taylor, and T. Cootes, ""Automatic interpretation and coding of face images using flexible models,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 19, no. 7, pp. 743-756, Jul. 1997"
17,4,"T. Vetter and T. Poggio, ""Linear object classes and image synthesis from a single example image,"" IEEE Trans. Pattern Anal. Mach. Intell., vol. 19, no. 7, p. 733742, Jul. 1997"
18,4,"N. Faggian, A. Paplinski, and J. Sherrah, ""3D morphable model fitting from multiple views,"" in Automatic Face Gesture Recognition, Sep. 2008, pp. 1-6"
19,4,"D. Vukadinovic and M. Pantic, ""Fully automatic facial feature point detection using gabor feature based boosted classifiers,"" in 2005 IEEE International Conference on Systems, Man and Cybernetics, vol. 2, Oct. 2005, pp. 1692-1698 Vol. 2"
20,4,"T. F. Cootes, C. J. Taylor, D. H. Cooper, and J. Graham, ""Active shape models-their training and application,"" Comput. Vis. Image Underst., vol. 61, no. 1, p. 3859, Jan. 1995"
21,4,"L. Gu and T. Kanade, ""3D alignment of face in a single image,"" in Computer Vision and Pattern Recognition, 2006 IEEE Computer Society Conference on, vol. 1, Jun. 2006, pp. 1305-1312"
22,4,"A. Caunce, D. Cristinacce, C. Taylor, and T. Cootes, ""Locating facial features and pose estimation using a 3D shape model,"" in Advances in Visual Computing, ser. LNCS. Springer Berlin/Heidelberg, 2009, vol. 5875, pp. 750-761"
23,4,"Y.-T. Pai, S.-J. Ruan, M.-C. Shie, and Y.-C. Liu, ""A simple and accurate color face detection algorithm in complex background,"" in 2006 IEEE International Conference on Multimedia and Expo, Jul. 2006, pp. 1545-1548"
24,4,"S. Rabi and P. Aarabi, ""Face fusion: An automatic method for virtual plastic surgery,"" in 2006 9th International Conference on Information Fusion, Jul. 2006, pp. 1-7"
25,4,"T. Oliveira-Santos, C. Baumberger, M. Constantinescu, R. Olariu, L.-P. Nolte, S. Alaraibi, and M. Reyes, ""3D face reconstruction from 2D pictures: First results of a web-based computer aided system for aesthetic procedures,"" Annals of biomedical engineering, Jan. 2013, PMID: 23319167"
26,4,"F. I. Parke, ""A parametric model for human faces."" Ph.D. dissertation, The University of Utah, 1974, AAI7508697"
27,4,"R. Zhang, P.-S. Tsai, J. E. Cryer, and M. Shah, ""Shape from shading: A survey,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 21, no. 8, p. 690706, 1999"
28,4,"T. Jebara, A. Azarbayejani, and A. Pentland, ""3D structure from 2D motion,"" Signal Processing Magazine, IEEE, vol. 16, no. 3, pp. 66-84, May 1999"
29,4,"L. Torresani, A. Hertzmann, and C. Bregler, ""Nonrigid structure-frommotion: Estimating shape and motion with hierarchical priors,"" Pattern Analysis and Machine Intelligence, vol. 30, no. 5, pp. 878-892, May 2008"
30,4,"D. Fidaleo and G. Medioni, ""Model-assisted 3D face reconstruction from video,"" in Analysis and Modeling of Faces and Gestures, ser. Lecture Notes in Computer Science, S. K. Zhou, W. Zhao, X. Tang, and S. Gong, Eds. Springer Berlin Heidelberg, Jan. 2007, no. 4778, pp. 124-138"
31,4,"V. Blanz and T. Vetter, ""A morphable model for the synthesis of 3D faces,"" in Proceedings of the 26th annual conference on Computer graphics and interactive techniques, NY, USA, 1999, pp. 187-194"
32,4,"V. Blanz, A. Mehl, T. Vetter, and H.-P. Seidel, ""A statistical method for robust 3D surface reconstruction from sparse data,"" in 3D Data Processing, Visualization and Transmission, Sep. 2004, pp. 293-300"
33,4,"T. Beeler, B. Bickel, P. Beardsley, B. Sumner, and M. Gross, ""Highquality single-shot capture of facial geometry,"" ACM Trans. Graph., vol. 29, no. 4, pp. 40:1-40:9, Jul. 2010"
34,4,"P. Garrido, L. Valgaerts, C. Wu, and C. Theobalt, ""Reconstructing detailed dynamic face geometry from monocular video,"" in ACM Transactions on Graphics (Proceedings of SIGGRAPH Asia 2013), vol. 32, no. 6, November 2013, pp. 158:1-158:10"
35,4,"T. Neumann, K. Varanasi, S. Wenger, M. Wacker, M. Magnor, and C. Theobalt, ""Sparse localized deformation components,"" ACM Trans. Graph., vol. 32, no. 6, pp. 179:1-179:10, Nov. 2013"
36,4,"S. Gupta, S. Kapoor, and P. Gupta, ""Synthesis of a face image at a desired pose from a given pose,"" Pattern Recogn. Lett., vol. 33, no. 14, pp. 1942-1950, Oct. 2012"
37,4,"D. Yi, Z. Lei, and S. Z. Li, ""Towards pose robust face recognition,"" in CVPR, 2013, pp. 3539-3545"
38,4,"D. S?anchez-Escobedo and M. Castel?an, ""3d face shape prediction from a frontal image using cylindrical coordinates and partial least squares,"" Pattern Recognition Letters, vol. 34, no. 4, pp. 389-399, 2013"
39,4,"Y. Wu, Z. Wang, and Q. Ji, ""Facial feature tracking under varying facial expressions and face poses based on restricted boltzmann machines,"" in Proceedings of the 2013 IEEE Conference on Computer Vision and Pattern Recognition, ser. CVPR '13. Washington, DC, USA: IEEE Computer Society, 2013, pp. 3452-3459"
40,4,"A. Lanitis, C. Taylor, and T. Cootes, ""Automatic interpretation and coding of face images using flexible models,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 19, no. 7, pp. 743-756, Jul. 1997"
41,4,"T. Vetter and T. Poggio, ""Linear object classes and image synthesis from a single example image,"" IEEE Trans. Pattern Anal. Mach. Intell., vol. 19, no. 7, p. 733742, Jul. 1997"
42,4,"N. Faggian, A. Paplinski, and J. Sherrah, ""3D morphable model fitting from multiple views,"" in Automatic Face Gesture Recognition, Sep. 2008, pp. 1-6"
43,4,"D. Vukadinovic and M. Pantic, ""Fully automatic facial feature point detection using gabor feature based boosted classifiers,"" in 2005 IEEE International Conference on Systems, Man and Cybernetics, vol. 2, Oct. 2005, pp. 1692-1698 Vol. 2"
44,4,"T. F. Cootes, C. J. Taylor, D. H. Cooper, and J. Graham, ""Active shape models-their training and application,"" Comput. Vis. Image Underst., vol. 61, no. 1, p. 3859, Jan. 1995"
45,4,"L. Gu and T. Kanade, ""3D alignment of face in a single image,"" in Computer Vision and Pattern Recognition, 2006 IEEE Computer Society Conference on, vol. 1, Jun. 2006, pp. 1305-1312"
46,4,"A. Caunce, D. Cristinacce, C. Taylor, and T. Cootes, ""Locating facial features and pose estimation using a 3D shape model,"" in Advances in Visual Computing, ser. LNCS. Springer Berlin/Heidelberg, 2009, vol. 5875, pp. 750-761"
47,4,"Y.-T. Pai, S.-J. Ruan, M.-C. Shie, and Y.-C. Liu, ""A simple and accurate color face detection algorithm in complex background,"" in 2006 IEEE International Conference on Multimedia and Expo, Jul. 2006, pp. 1545-1548"
48,5,"S. C. G. Laboratory, ""The stanford 3d scanning repository,"" http://www-graphics.stanford.edu/data/3Dscanrep/, Mar. 2014, online. Accessed 04-March-2014"
49,5,"H. Friedrich, J. G?unther, A. Dietrich, M. Scherbaum, H.-P. Seidel, and P. Slusallek, ""Exploring the use of ray tracing for future games,"" in Proceedings of the 2006 ACM SIGGRAPH symposium on Videogames, ser. Sandbox '06. New York, NY, USA: ACM, 2006, pp. 41-50. [Online]. Available: http://doi.acm.org/10.1145/1183316.1183323"
50,5,"A. Reshetov, A. Soupikov, and J. Hurley, ""Multi-level ray tracing algorithm,"" in ACM SIGGRAPH 2005 Papers, ser. SIGGRAPH '05. New York, NY, USA: ACM, 2005, pp. 1176-1185. [Online]. Available: http://doi.acm.org/10.1145/1186822.1073329"
51,5,"C. W?achter and A. Keller, ""Instant ray tracing: The bounding interval hierarchy,"" in Proceedings of the 17th Eurographics Conference on Rendering Techniques, ser. EGSR'06. Aire-la-Ville, Switzerland, Switzerland: Eurographics Association, 2006, pp. 139-149. [Online]. Available: http://dx.doi.org/10.2312/EGWR/EGSR06/139-149"
52,5,"I. Wald, T. Ize, A. Kensler, A. Knoll, and S. G. Parker, ""Ray tracing animated scenes using coherent grid traversal,"" in ACM SIGGRAPH 2006 Papers, ser. SIGGRAPH '06. New York, NY, USA: ACM, 2006, pp. 485-493. [Online]. Available: http://doi.acm.org/10.1145/1179352.1141913"
53,5,"A. Lagae and P. Dutr?e, ""Compact, fast and robust grids for ray tracing,"" in ACM SIGGRAPH 2008 Talks, ser. SIGGRAPH '08. New York, NY, USA: ACM, 2008, pp. 20:1-20:1. [Online]. Available: http://doi.acm.org/10.1145/1401032.1401059"
54,5,"M. E. Lee, R. A. Redner, and S. P. Uselton, ""Statistically optimized sampling for distributed ray tracing,"" in Proceedings of the 12th Annual Conference on Computer Graphics and Interactive Techniques, ser. SIGGRAPH '85. New York, NY, USA: ACM, 1985, pp. 61-68. [Online]. Available: http://doi.acm.org/10.1145/325334.325179"
55,5,"A. J. F. Kok and F. W. Jansen, ""Adaptive sampling of area light sources in ray tracing including diffuse interreflection,"" Computer Graphics Forum, vol. 11, no. 3, pp. 289-298, 1992. [Online]. Available: http://dx.doi.org/10.1111/1467-8659.1130289"
56,5,"H. Br?onnimann and M. Glisse, ""Octrees with near optimal cost for ray-shooting,"" Comput. Geom. Theory Appl., vol. 34, no. 3, pp. 182-194, Jul. 2006. [Online]. Available: http://dx.doi.org/10.1016/j. comgeo.2005.09.003"
57,5,"A. Lagae and P. Dutr?e, ""Accelerating ray tracing using constrained tetrahedralizations,"" IRT 2008 Poster, Symposium on Interactive Ray Tracing 2008, Los Angeles, USA, p. 1, August 2008. [Online]. Available: http://www.sci.utah.edu/rt08/"
58,5,"N. A. Carr, J. Hoberock, K. Crane, and J. C. Hart, ""Fast gpu ray tracing of dynamic meshes using geometry images,"" in Proceedings of Graphics Interface 2006, ser. GI '06. Toronto, Ont., Canada, Canada: Canadian Information Processing Society, 2006, pp. 203-209. [Online]. Available: http://dl.acm.org/citation.cfm?id=1143079.1143113"
59,5,"M. Shevtsov, A. Soupikov, and A. Kapustin, ""Highly parallel fast kd-tree construction for interactive ray tracing of dynamic scenes,"" Computer Graphics Forum, vol. 26, no. 3, pp. 395-404, 2007. [Online]. Available: http://dx.doi.org/10.1111/j.1467-8659.2007.01062.x"
60,5,"B. Choi, R. Komuravelli, V. Lu, H. Sung, R. L. Bocchino, S. V. Adve, and J. C. Hart, ""Parallel sah k-d tree construction,"" in Proceedings of the Conference on High Performance Graphics, ser. HPG '10. Aire-la-Ville, Switzerland, Switzerland: Eurographics Association, 2010, pp. 77-86. [Online]. Available: http://dl.acm.org/citation.cfm?id=1921479.1921492"
61,5,"B. Mora, ""Naive ray-tracing: A divide-and-conquer approach,"" ACM Trans. Graph., vol. 30, no. 5, pp. 117:1-117:12, Oct. 2011. [Online]. Available: http://doi.acm.org/10.1145/2019627.2019636"
62,5,"T. Whitted, ""An improved illumination model for shaded display,"" in Proceedings of the 6th annual conference on Computer graphics and interactive techniques, ser. SIGGRAPH '79. New York, NY, USA: ACM, 1979, pp. 14-. [Online]. Available: http://doi.acm.org/10.1145/800249.807419"
63,5,"D. Barboza and E. Clua, ""A gpu-based data structure for a parallel ray tracing illumination algorithm,"" in Proceedings of SBGames 2011. SBC, 2011"
64,5,"H. Du, M. Sanchez-Elez, N. Tabrizi, N. Bagherzadeh, M. L. Anido, and M. Fernandez, ""Interactive ray tracing on reconfigurable simd morphosys,"" in Proceedings of the 2003 Asia and South Pacific Design Automation Conference, ser. ASP-DAC '03. New York, NY, USA: ACM, 2003, pp. 471-476. [Online]. Available: http://doi.acm.org/10.1145/1119772.1119869"
65,5,"P. Santos, ""Ray tracing dynamic scenes on the gpu,"" Master's thesis, Pontfica Universidade Cat?olica do Rio de Janeiro, 2009"
66,5,"A. Keller and C. Waechter, ""Efficient ray tracing without acceleration data structure,"" Patent Application, 09 2009, uS 2009/0225081 A1. [Online]. Available: http://www.patentlens.net/patentlens/patent/US 2009 0225081 A1/en/"
67,5,"M. Eisemann, P. Bauszat, S. Guthe, and M. Magnor, ""Geometry presorting for implicit object space partitioning,"" Comp. Graph. Forum, vol. 31, no. 4, pp. 1445-1454, Jun. 2012. [Online]. Available: http://dx.doi.org/10.1111/j.1467-8659.2012.03140.x"
68,5,"A. Williams, S. Barrus, R. K. Morley, and P. Shirley, ""An efficient and robust ray-box intersection algorithm,"" in ACM SIGGRAPH 2005 Courses, ser. SIGGRAPH '05. New York, NY, USA: ACM, 2005. [Online]. Available: http://doi.acm.org/10.1145/1198555.1198748"
69,5,"T. Akenine-M?oller, ""Fast 3d triangle-box overlap testing,"" in ACM SIGGRAPH 2005 Courses, ser. SIGGRAPH '05. New York, NY, USA: ACM, 2005. [Online]. Available: http://doi.acm.org/10.1145/1198555. 1198747"
70,5,"T. M?oller and B. Trumbore, ""Fast, minimum storage ray-triangle intersection,"" J. Graph. Tools, vol. 2, no. 1, pp. 21-28, Oct. 1997. [Online]. Available: http://dx.doi.org/10.1080/10867651.1997.10487468"
71,5,"A. Hoedt, ""Divide-and-conquer ray tracing on the gpu,"" http://asgerhoedt.dk/?page id=240, Nov. 2012, online. Accessed 04-July-2013"
72,5,"O. A. R. Board, ""The openmp api specification for parallel programming,"" http://openmp.org/wp/, Dec. 2013, online. Accessed 09-December-2013"
73,5,"M. Corporation, ""Thread pool api (windows),"" http://msdn.microsoft.com/en-us/library/windows/desktop/ms686766\%28v=vs.85\%29.aspx, Mar. 2014, online. Accessed 04-March-2014"
74,5,"S. Ravichandran and P. J. Narayanan, ""Parallel divide and conquer ray tracing,"" in SIGGRAPH Asia 2013 Technical Briefs, ser. SA '13. New York, NY, USA: ACM, 2013, pp. 30:1-30:4. [Online]. Available: http://doi.acm.org/10.1145/2542355.2542393"
75,5,"K. Nabata, K. Iwasaki, Y. Dobashi, and T. Nishita, ""Efficient divide-and-conquer ray tracing using ray sampling,"" in Proceedings of the 5th High-Performance Graphics Conference, ser. HPG '13. New York, NY, USA: ACM, 2013, pp. 129-135. [Online]. Available: http://doi.acm.org/10.1145/2492045.2492059"
76,5,"S. C. G. Laboratory, ""The stanford 3d scanning repository,"" http://www-graphics.stanford.edu/data/3Dscanrep/, Mar. 2014, online. Accessed 04-March-2014"
77,5,"H. Friedrich, J. G?unther, A. Dietrich, M. Scherbaum, H.-P. Seidel, and P. Slusallek, ""Exploring the use of ray tracing for future games,"" in Proceedings of the 2006 ACM SIGGRAPH symposium on Videogames, ser. Sandbox '06. New York, NY, USA: ACM, 2006, pp. 41-50. [Online]. Available: http://doi.acm.org/10.1145/1183316.1183323"
78,5,"A. Reshetov, A. Soupikov, and J. Hurley, ""Multi-level ray tracing algorithm,"" in ACM SIGGRAPH 2005 Papers, ser. SIGGRAPH '05. New York, NY, USA: ACM, 2005, pp. 1176-1185. [Online]. Available: http://doi.acm.org/10.1145/1186822.1073329"
79,5,"C. W?achter and A. Keller, ""Instant ray tracing: The bounding interval hierarchy,"" in Proceedings of the 17th Eurographics Conference on Rendering Techniques, ser. EGSR'06. Aire-la-Ville, Switzerland, Switzerland: Eurographics Association, 2006, pp. 139-149. [Online]. Available: http://dx.doi.org/10.2312/EGWR/EGSR06/139-149"
80,5,"I. Wald, T. Ize, A. Kensler, A. Knoll, and S. G. Parker, ""Ray tracing animated scenes using coherent grid traversal,"" in ACM SIGGRAPH 2006 Papers, ser. SIGGRAPH '06. New York, NY, USA: ACM, 2006, pp. 485-493. [Online]. Available: http://doi.acm.org/10.1145/1179352.1141913"
81,5,"A. Lagae and P. Dutr?e, ""Compact, fast and robust grids for ray tracing,"" in ACM SIGGRAPH 2008 Talks, ser. SIGGRAPH '08. New York, NY, USA: ACM, 2008, pp. 20:1-20:1. [Online]. Available: http://doi.acm.org/10.1145/1401032.1401059"
82,5,"M. E. Lee, R. A. Redner, and S. P. Uselton, ""Statistically optimized sampling for distributed ray tracing,"" in Proceedings of the 12th Annual Conference on Computer Graphics and Interactive Techniques, ser. SIGGRAPH '85. New York, NY, USA: ACM, 1985, pp. 61-68. [Online]. Available: http://doi.acm.org/10.1145/325334.325179"
83,5,"A. J. F. Kok and F. W. Jansen, ""Adaptive sampling of area light sources in ray tracing including diffuse interreflection,"" Computer Graphics Forum, vol. 11, no. 3, pp. 289-298, 1992. [Online]. Available: http://dx.doi.org/10.1111/1467-8659.1130289"
84,5,"H. Br?onnimann and M. Glisse, ""Octrees with near optimal cost for ray-shooting,"" Comput. Geom. Theory Appl., vol. 34, no. 3, pp. 182-194, Jul. 2006. [Online]. Available: http://dx.doi.org/10.1016/j. comgeo.2005.09.003"
85,5,"A. Lagae and P. Dutr?e, ""Accelerating ray tracing using constrained tetrahedralizations,"" IRT 2008 Poster, Symposium on Interactive Ray Tracing 2008, Los Angeles, USA, p. 1, August 2008. [Online]. Available: http://www.sci.utah.edu/rt08/"
86,5,"N. A. Carr, J. Hoberock, K. Crane, and J. C. Hart, ""Fast gpu ray tracing of dynamic meshes using geometry images,"" in Proceedings of Graphics Interface 2006, ser. GI '06. Toronto, Ont., Canada, Canada: Canadian Information Processing Society, 2006, pp. 203-209. [Online]. Available: http://dl.acm.org/citation.cfm?id=1143079.1143113"
87,5,"M. Shevtsov, A. Soupikov, and A. Kapustin, ""Highly parallel fast kd-tree construction for interactive ray tracing of dynamic scenes,"" Computer Graphics Forum, vol. 26, no. 3, pp. 395-404, 2007. [Online]. Available: http://dx.doi.org/10.1111/j.1467-8659.2007.01062.x"
88,5,"B. Choi, R. Komuravelli, V. Lu, H. Sung, R. L. Bocchino, S. V. Adve, and J. C. Hart, ""Parallel sah k-d tree construction,"" in Proceedings of the Conference on High Performance Graphics, ser. HPG '10. Aire-la-Ville, Switzerland, Switzerland: Eurographics Association, 2010, pp. 77-86. [Online]. Available: http://dl.acm.org/citation.cfm?id=1921479.1921492"
89,5,"B. Mora, ""Naive ray-tracing: A divide-and-conquer approach,"" ACM Trans. Graph., vol. 30, no. 5, pp. 117:1-117:12, Oct. 2011. [Online]. Available: http://doi.acm.org/10.1145/2019627.2019636"
90,5,"T. Whitted, ""An improved illumination model for shaded display,"" in Proceedings of the 6th annual conference on Computer graphics and interactive techniques, ser. SIGGRAPH '79. New York, NY, USA: ACM, 1979, pp. 14-. [Online]. Available: http://doi.acm.org/10.1145/800249.807419"
91,5,"D. Barboza and E. Clua, ""A gpu-based data structure for a parallel ray tracing illumination algorithm,"" in Proceedings of SBGames 2011. SBC, 2011"
92,5,"H. Du, M. Sanchez-Elez, N. Tabrizi, N. Bagherzadeh, M. L. Anido, and M. Fernandez, ""Interactive ray tracing on reconfigurable simd morphosys,"" in Proceedings of the 2003 Asia and South Pacific Design Automation Conference, ser. ASP-DAC '03. New York, NY, USA: ACM, 2003, pp. 471-476. [Online]. Available: http://doi.acm.org/10.1145/1119772.1119869"
93,5,"P. Santos, ""Ray tracing dynamic scenes on the gpu,"" Master's thesis, Pontfica Universidade Cat?olica do Rio de Janeiro, 2009"
