id,id_paper,name
0,3,Tim Weyrich
1,3,Mario Campos
2,3,Robert Pless
3,3,James Bergstra
4,4,Christian Baumberger
5,4,Mauricio Reyes
6,4,Mihai Constantinescu
7,4,Radu Olariu
8,4,Edilson De Aguiar
9,4,Thiago Oliveira Santos
10,5,Cícero Augusto de Lara Pahins
11,5,Cesar Tadeu Pozzer
12,6,Emilio Vital Brazil
13,6,Ronan Amorim
14,6,Mario Costa Sousa
15,6,Luiz Velho
16,6,Luiz Henrique De Figueiredo
17,7,Aurea Soriano
18,7,Fernando Paulovich
19,7,Luis Gustavo Nonato
20,7,Maria Cristina F. Oliveira
21,8,Eliezer S. Flores
22,8,Jacob Scharcanski
23,9,Wu Shin Ting
24,9,Augusto Cavalcante Valente
25,9,Lionis de Souza Watanabe
26,9,Clarissa Lin Yasuda
27,9,Ana Carolina Coan
28,9,Fernando Cendes
29,10,Rafael P. Kovaleski
30,10,Manuel M. Oliveira
31,11,Marco A. A. Silva
32,11,Guillermo Cámara Chávez
33,12,Luiz Fernando De Souza Andrade
34,12,Marcos Sandim
35,12,Fabiano Petronetto
36,12,Paulo Pagliosa
37,12,Afonso Paiva
38,13,Ignazio Gallo
39,13,Alessandro Zamberletti
40,13,Lucia Noce
41,14,Martin Eisemann
42,14,Georgia Albuquerque
43,14,Marcus Magnor
44,15,Gustavo Thebit Pfeiffer
45,15,Ricardo Guerra Marroquim
46,15,Antonio Alberto Fernandes de Oliveira
47,16,Gwanggil Jeon
48,16,Kibaek Kim
49,16,Jechang Jeong
50,17,Daniel Michelon de Carli
51,17,Cesar Tadeu Pozzer
52,17,Fernando Bevilacqua
53,17,Victor Schetinger
54,18,Willian Paraguassu Amorim
55,18,Alexandre Xavier Falcão
56,18,Marcelo Henriques de Carvalho
57,19,Rodrigo de Melo Souza Veras
58,19,Fatima Nelsizeuma Sombra de Medeiros
59,19,Romuere Rodrigues Veloso e Silva
60,19,Kelson Aires
61,20,Danillo Roberto Pereira
62,20,José Delpiano
63,20,João Paulo Papa
64,21,Romain Faugeroux
65,21,Thales Vieira
66,21,Dimas Martinez
67,21,Thomas Lewiner
68,22,Romuere Rodrigues Veloso e Silva
69,22,Kelson Rômulo Teixeira Aires
70,22,Rodrigo de Melo Souza Veras
71,23,Marcio Cerqueira de Farias Macedo
72,23,Antonio Lopes Apolinario
73,24,Lilian C. B. dos Santos
74,24,Silvio Jamil Ferzoli Guimaraes
75,24,Arnaldo de Albuquerque Araujo
76,24,Jefersson A. dos Santos
77,25,Daniel K. Osmari
78,25,Huy T. Vo
79,25,Cláudio T. Silva
80,25,João L. D. Comba
81,25,Lauro Lins
82,26,John E. Vargas
83,26,Priscila T. M. Saito
84,26,Alexandre X. Falcao
85,26,Pedro J. De Rezende
86,26,Jefersson A. Dos Santos
87,27,Marek Kurzynski
88,27,Maciej Krysmann
89,28,Cassio Elias Dos Santos
90,28,William Robson Schwartz
91,29,Ronaldo Rigoni
92,29,Pedro Garcia Freitas
93,29,Mylène C.Q. Farias
94,30,Pedro Garcia Freitas
95,30,Mylène C.Q. Farias
96,30,Aletéia P.F. de Araújo
97,31,Julio Toss
98,31,João Luiz Dihl Comba
99,31,Bruno Raffin
100,32,Erick Gomez Nieto
101,32,Danilo Motta
102,32,Luis Gustavo Nonato
103,33,Bruno Marques Ferreira da Silva
104,33,Luiz Marcos Garcia Gonçalves
105,34,Suzana M. F. De Oliveira
106,34,Creto A. Vidal
107,34,Joaquim B. Cavalcante Neto
108,34,Laise L. De Carvalho
109,34,Jose G. R. Maia
110,35,Daniel Carlos Guimarães Pedronette
111,35,Rodrigo T. Calumby
112,35,Ricardo da S. Torres
113,36,Fabio Theoto Rocha
114,36,Carlos Eduardo Thomaz
115,36,Armando Freitas da Rocha
116,36,Eduardo Massad
117,37,Silas Evandro Nachif Fernandes
118,37,André Luiz Pilastri
119,37,Luís Augusto Martins Pereira
120,37,Rafael Goncalves Pires
121,37,João Paulo Papa
122,38,Rafael Romeiro
123,38,Ricardo Marroquim
124,38,Claudio Esperança
125,38,Andreia Breda
126,38,Carlos Marcelo Figueredo
127,39,Antonio Carlos Sobieranski
128,39,Fatih Inci
129,39,H. Cumhur Tekin
130,39,Eros Comunello
131,39,Aldo Von Wangenheim
132,39,Utkan Demirci
133,40,Fabiane da Silva Queiroz
134,40,Ing Ren Tsang
135,41,Luis F. Alves Pereira
136,41,Andrei Dabravolski
137,41,Ing Ren Tsang
138,41,George D. C. Cavalcanti
139,41,Jan Sijbers
140,42,D. Menotti
141,42,G. Chiachia
142,42,A. X. Falcao
143,42,V. J. Oliveira Neto
144,43,Hans Harley Ccacyahuillca Bejar
145,43,Paulo A. V. Miranda
146,44,J. M. Zoghbi
147,44,L. T. De-La-Cruz
148,44,M. A. G. V. Galarreta
149,44,Marcel P. Jackowski
150,44,J. C. F. Vieira
151,44,A. M. A. Liberatore
152,44,Ivan H. J. Koh
153,45,Michel Fornaciali
154,45,Sandra Avila
155,45,Micael Carvalho
156,45,Eduardo Valle
157,46,Adriano Alonso Veloso
158,46,Jefersson A. Dos Santos
159,46,Keiller Nogueira
160,47,Paulo Ivson
161,47,Waldemar Celes
162,48,Gustavo Mello Machado
163,48,Filip Sadlo
164,48,Thomas Ertl
