id,id_author,university
0,0,"University of California, Santa Barbara, USA"
1,1,"University of California, Santa Barbara, USA"
2,2,"Mitsubishi Electric Research Laboratories, Inc., USA"
3,3,"Departamento de Informatica, Ciencia da Computacao-IME-UERJ, Brazil"
4,4,"IMPA-Instituto Nacional de Matemática Pura e Aplicada, Brazil"
5,5,"IMPA-Instituto Nacional de Matemática Pura e Aplicada, Brazil"
6,6,"IMPA-Instituto Nacional de Matemática Pura e Aplicada, Brazil"
7,7,"Department of Mathematics, PUC-Rio, Brazil"
8,8,"Department of Mathematics, PUC-Rio, Brazil"
9,9,"Université Claude Bernard, Lyon, France"
10,10,"University of São Paulo, Brazil"
11,11,"University of Stuttgart, Germany"
12,12,"University of São Paulo, Brazil"
13,13,"University of São Paulo, Brazil"
14,14,"University of São Paulo, Brazil"
15,15,"University of Stuttgart, Germany"
16,16,"LIV, Institute of Computing, Campinas, SP, Brazil"
17,17,"LIV, Institute of Computing, Campinas, SP, Brazil"
18,18,"DECOM, UNICAMP, Campinas, SP, Brazil"
19,19,"LIV, Institute of Computing, Campinas, SP, Brazil"
20,20,"Visgraf/IMPA, Rio de Janeiro, Brazil"
21,21,"DCC-ICE-UFJF, Cidade Universitária, Juiz de Fora, Minas Gerais, Brazil"
22,22,"IME-UERJ, Rio de Janeiro, Brazil"
23,23,"Visgraf/IMPA, Brazil"
24,24,"Visgraf/IMPA, Brazil"
25,25,"School of Electrical and Computer Engineering, State University of Campinas, Sao Paulo, Brazil"
26,26,"School of Electrical and Computer Engineering, State University of Campinas, Sao Paulo, Brazil"
27,27,"Instituto de Ciencias Matematicas e de Computacao - USP, Sao Carlos, SP, Brazil"
28,28,"Instituto de Ciencias Matematicas e de Computacao - USP, Sao Carlos, SP, Brazil"
29,29,"Universidade de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR"
30,30,"Instituto de Ciencias Matematicas e de Computacao - USP, Sao Carlos, SP, Brazil"
31,31,"Instituto de Ciencias Matematicas e de Computacao - USP, Sao Carlos, SP, Brazil"
32,32,"Pontifícia Universidade Católica do Rio de Janeiro, France"
33,32,"ARTIS/GRAVIR/IMAG-INRIA, France"
34,33,"IMPA-Instituto de Matemática Pura e Aplicada, Brazil"
35,34,"ARTIS/GRAVIR/IMAG-INRIA, Brazil"
36,35,"PUC-Rio-Department of Mathematics, Matmídia Laboratory, Rio de Janeiro, Brazil"
37,36,"PUC-Rio-Department of Mathematics, Matmídia Laboratory, Rio de Janeiro, Brazil"
