id,id_paper,reference
0,2,"J. F. Blinn, ""Simulation of wrinkled surfaces"", Proc. SIGGRAPH 1978, pp. 286-292, 1978."
1,2,"R. L. Cook, ""Shade trees"", Proceedings of SIGGRAPH, pp. 223-231, 1984."
2,2,"M. M. Oliveira, G. Bishop and D. McAllister, ""Relief texture mapping"", Proc. SIGGRAPH 2000, pp. 359-368."
3,2,"F. Policarpo, M. M. Oliveira and J. Comba, ""Real-time relief mapping on arbitrary polygonal surfaces"", Proc. ACM Symposium on Interactive 3D Graphics and Games, pp. 155-162, 2005."
4,2,"N. Tatarchuk, ""Dynamic parallax occlusion mapping with approximate soft shadows"", Proc. ACM Symposium on Interactive 3D Graphics and Games, pp. 63-69, 2006."
5,2,"M. M. Oliveira and F. Policarpo, ""An efficient representation for surface details"", Tech. Rep. RP-351, January 2005, [online] Available: http://www.inf.ufrgs.br/rvoliveiraJpubs_files/Oliveira_Poli-carpo_RP-351_Jan_2005.pdf."
6,2,"F. Policarpo and M. M. Oliveira, ""Relief mapping of non-height-field surface details"", Proc. ACM Symposium on Interactive 3D Graphics and Games, pp. 55-62, 2006."
7,2,"J. Patterson, S. Hoggar and J. Logie, ""Inverse displacement mapping"", Comp. Graphics Forum, vol. 10, no. 2, pp. 129-139, 1991."
8,2,"M. Pharr and P. Hanrahan, ""Geometry caching for ray-tracing displacement maps"", Eurographics Rendering Workshop, pp. 31-40, 1996."
9,2,"W. Heidrich and H.-P. Seidel, ""Ray-tracing procedural displacement shaders"", Graphics Interface, pp. 8-16, 1998."
10,2,"B. E. Smits, P. Shirley and M. M. Stark, ""Direct ray tracing of displacement mapped triangles"", Proc. Eurographics Workshop on Rendering Techniques 2000, pp. 307-318, 2000."
11,2,"A. Meyer and F. Neyret, ""Interactive volumetric textures"", Eurographics Rendering Workshop 1998, pp. 157-168, 1998."
12,2,"J. Kautz and H.-P. Seidel, ""Hardware accelerated displacement mapping for image based rendering"", Graphics Interface, pp. 61-70, 2001."
13,2,"G. Schaufler and M. Priglinger, ""Efficient displacement mapping by image warping"", EG Rendering Workshop 1998, pp. 175-186."
14,2,"Y. Chen, X. Tong, J. Wang, S. Lin, B. Guo and H.-Y. Shum, ""Shell texture functions"", ACM TOG, vol. 23, no. 3, pp. 343-352, August 2004."
15,2,"J. Peng, D. Kristjansson and D. Zorin, ""Interactive modeling of topologically complex geometric detail"", ACM Trans. Graphics, vol. 23, no. 3, pp. 635-643, August 2004."
16,2,"S. Porumbescu, B. Budge, L. Feng and K. Joy, ""Shell maps"", ACM TOG, vol. 24, no. 3, pp. 626-633, 2005."
17,2,"L. Wang, X. Wang, X. Tong, S. Lin, S. Hu, B. Guo, et al., ""View-dependent displacement mapping"", ACM Trans. Graph., vol. 22, no. 3, pp. 334-339, 2003."
18,2,"X. Wang, X. Tong, S. Lin, S. Hu, B. Guo and H.-Y. Shum, ""Generalized displacement maps"", Proc. EGSR, pp. 227-233, 2004."
19,2,"K. J. Dana, B. van Ginneken, S. K. Nayar and J. J. Koenderink, ""Reflectance and texture of real-world surfaces"", ACM Trans. Graph., vol. 18, no. 1, pp. 1-34, Jan. 1999."
20,2,"G. Müller, J. Meseth, M. Sattler, R. Sarlette and R. Klein, ""Acquisition synthesis and rendering of bidirectional texture functions"", Eurographics 2004 State of the Art Reports, pp. 69-94, Sep. 2004."
21,2,"S. Zhukov, A. Inoes and G. Kronin, ""An ambient light illumination model"", Rendering Techniques 98, pp. 45-56, 1998."
22,2,"H. Landis, ""Production-ready global illumination. Course 16 Notes"", SIGGRAPH 2002."
23,2,"T. Luft, C. Colditz and O. Deussen, ""Image enhancement by unsharp masking the depth buffer"", ACM Trans. Graph., vol. 25, no. 3, pp. 1206-1213, Jul. 2006."
24,2,"V. Kajalin, ""Screen space ambient occlusion"", ShaderX7. Charles River Media, pp. 413-424, March 2009."
25,2,"S. Rusinkiewicz, M. Burns and D. DeCarlo, ""Exaggerated shading for depicting shape and detail"", ACM Trans. Graph., vol. 25, no. 3, pp. 1199-1205, 2006."
26,2,"R. Fattal, ""Edge-avoiding wavelets and their applications"", ACM Trans. Graph., vol. 28, no. 3, pp. 1-22, 2009."
27,2,"J. Lopez-Moreno, J. Jimenez, S. Hadap, E. Reinhard, K. Anjyo and D. Gutierrez, ""Stylized depiction of images based on depth perception"", Proc. of NPAR 10, pp. 109-118, 2010."
28,2,"J. Hoberock and Y. Jia, ""High-quality ambient occlusion"" in GPU Gems 3, Addison Wesley, pp. 257-274, March 2008."
29,2,"N. Max, ""Horizon mapping"", The Visual Computer, vol. 4, pp. 109-117, 1988."
30,2,"J. F. Blinn, ""Simulation of wrinkled surfaces"", Proc. SIGGRAPH 1978, pp. 286-292, 1978."
31,2,"R. L. Cook, ""Shade trees"", Proceedings of SIGGRAPH, pp. 223-231, 1984."
32,2,"M. M. Oliveira, G. Bishop and D. McAllister, ""Relief texture mapping"", Proc. SIGGRAPH 2000, pp. 359-368."
33,2,"F. Policarpo, M. M. Oliveira and J. Comba, ""Real-time relief mapping on arbitrary polygonal surfaces"", Proc. ACM Symposium on Interactive 3D Graphics and Games, pp. 155-162, 2005."
34,2,"N. Tatarchuk, ""Dynamic parallax occlusion mapping with approximate soft shadows"", Proc. ACM Symposium on Interactive 3D Graphics and Games, pp. 63-69, 2006."
35,2,"M. M. Oliveira and F. Policarpo, ""An efficient representation for surface details"", Tech. Rep. RP-351, January 2005, [online] Available: http://www.inf.ufrgs.br/rvoliveiraJpubs_files/Oliveira_Poli-carpo_RP-351_Jan_2005.pdf."
36,2,"F. Policarpo and M. M. Oliveira, ""Relief mapping of non-height-field surface details"", Proc. ACM Symposium on Interactive 3D Graphics and Games, pp. 55-62, 2006."
37,2,"J. Patterson, S. Hoggar and J. Logie, ""Inverse displacement mapping"", Comp. Graphics Forum, vol. 10, no. 2, pp. 129-139, 1991."
38,2,"M. Pharr and P. Hanrahan, ""Geometry caching for ray-tracing displacement maps"", Eurographics Rendering Workshop, pp. 31-40, 1996."
39,2,"W. Heidrich and H.-P. Seidel, ""Ray-tracing procedural displacement shaders"", Graphics Interface, pp. 8-16, 1998."
40,2,"B. E. Smits, P. Shirley and M. M. Stark, ""Direct ray tracing of displacement mapped triangles"", Proc. Eurographics Workshop on Rendering Techniques 2000, pp. 307-318, 2000."
41,2,"A. Meyer and F. Neyret, ""Interactive volumetric textures"", Eurographics Rendering Workshop 1998, pp. 157-168, 1998."
42,2,"J. Kautz and H.-P. Seidel, ""Hardware accelerated displacement mapping for image based rendering"", Graphics Interface, pp. 61-70, 2001."
43,2,"G. Schaufler and M. Priglinger, ""Efficient displacement mapping by image warping"", EG Rendering Workshop 1998, pp. 175-186."
44,2,"Y. Chen, X. Tong, J. Wang, S. Lin, B. Guo and H.-Y. Shum, ""Shell texture functions"", ACM TOG, vol. 23, no. 3, pp. 343-352, August 2004."
45,2,"J. Peng, D. Kristjansson and D. Zorin, ""Interactive modeling of topologically complex geometric detail"", ACM Trans. Graphics, vol. 23, no. 3, pp. 635-643, August 2004."
46,2,"S. Porumbescu, B. Budge, L. Feng and K. Joy, ""Shell maps"", ACM TOG, vol. 24, no. 3, pp. 626-633, 2005."
47,2,"L. Wang, X. Wang, X. Tong, S. Lin, S. Hu, B. Guo, et al., ""View-dependent displacement mapping"", ACM Trans. Graph., vol. 22, no. 3, pp. 334-339, 2003."
48,2,"X. Wang, X. Tong, S. Lin, S. Hu, B. Guo and H.-Y. Shum, ""Generalized displacement maps"", Proc. EGSR, pp. 227-233, 2004."
49,2,"K. J. Dana, B. van Ginneken, S. K. Nayar and J. J. Koenderink, ""Reflectance and texture of real-world surfaces"", ACM Trans. Graph., vol. 18, no. 1, pp. 1-34, Jan. 1999."
50,2,"G. Müller, J. Meseth, M. Sattler, R. Sarlette and R. Klein, ""Acquisition synthesis and rendering of bidirectional texture functions"", Eurographics 2004 State of the Art Reports, pp. 69-94, Sep. 2004."
51,2,"S. Zhukov, A. Inoes and G. Kronin, ""An ambient light illumination model"", Rendering Techniques 98, pp. 45-56, 1998."
52,2,"H. Landis, ""Production-ready global illumination. Course 16 Notes"", SIGGRAPH 2002."
53,2,"T. Luft, C. Colditz and O. Deussen, ""Image enhancement by unsharp masking the depth buffer"", ACM Trans. Graph., vol. 25, no. 3, pp. 1206-1213, Jul. 2006."
54,2,"V. Kajalin, ""Screen space ambient occlusion"", ShaderX7. Charles River Media, pp. 413-424, March 2009."
55,2,"S. Rusinkiewicz, M. Burns and D. DeCarlo, ""Exaggerated shading for depicting shape and detail"", ACM Trans. Graph., vol. 25, no. 3, pp. 1199-1205, 2006."
