id,id_author,university
0,0,"Universidade Federal do ABC, Santo Andre, SP, BR"
1,1,"Departamento de Computação, Universidade Federal Fluminense, Brazil"
2,2,"Universidade Federal do ABC, Brazil"
3,3,"Inst. de Inf., Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, BR"
4,4,"Inst. de Inf., Univ. Fed. do Rio Grande do Sul, Brazil"
5,5,"CDTec - Universidade Federal de Pelotas, Brazil"
6,6,"Inst. de Inf., Univ. Fed. do Rio Grande do Sul, Brazil"
7,7,"Departamento da Telemática, Ciência e Tecnologia do Ceará, Fortaleza, Brasil"
8,8,"Departamento da Telemática, Ciência e Tecnologia do Ceará, Fortaleza, Brasil"
9,9,"Institute of Informatics, Federal University of Rio Grande do Sul UFRGS, Porto Alegre, Brazil"
10,10,"Universidade da Beira Interior, Covilha, Castelo Branco, PT"
11,11,"Lab. Exp. de Hepatologia e Gastroenterologia, Porto Alegre, Brazil"
12,12,"Institute of Informatics, Federal University of Rio Grande do Sul UFRGS, Porto Alegre, Brazil"
13,13,"Dept. de Cienc. da Comput., Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
14,14,"Dept. de Cienc. da Comput., Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
15,15,"Centro de Inf., Universidade Federal da Paraiba, Joao Pessoa, PB, BR"
16,16,"Centro de Inf., Universidade Federal da Paraiba, Joao Pessoa, PB, BR"
17,17,"Centro de Inf., Universidade Federal da Paraíba, João Pessoa, Brazil"
18,18,"Department of Computer Science and Engineering, Faculty of Applied Sciences University of West Bohemia, Plzen, Czech Republic"
19,19,"Department of Computer Science and Engineering, Faculty of Applied Sciences University of West Bohemia, Plzen, Czech Republic"
20,20,"Department of Computer Science and Engineering, Faculty of Applied Sciences University of West Bohemia, Plzen, Czech Republic"
21,21,"Dept. of Computer Engineering, TOBB University of Economics and Technology, Sogutozu, Ankara, Turkey"
22,22,"Dept. of Computer Science, Haverford College, Haverford, PA, USA"
23,23,"Dept. of Computer Science, Bryn Mawr College, Bryn Mawr, PA, USA"
24,24,"Dept. de Estatistica e Inf., Universidade Federal Rural de Pernambuco, Recife, PE, BR"
25,25,"Centro de Inf., Universidade Federal de Pernambuco (UFPE), Recife, Brazil"
26,26,"UFRGS, Institute of Informatics, Porto Alegre, Brazil"
27,27,"UFRGS, Institute of Informatics, Porto Alegre, Brazil"
28,28,"CORS, Porto Alegre, Brazil"
29,29,"Samsung Research Institute, Campinas, Brazil"
30,30,"Samsung Research Institute, Campinas, Brazil"
31,31,"Samsung Research Institute, Campinas, Brazil"
32,32,"Institute of Informatics, Federal University of Rio Grande do Sul"
33,33,"Institute of Informatics, Federal University of Rio Grande do Sul"
34,34,"Mathematics and Statistics Department, Federal University of Pelotas"
35,35,Federal University of Campina Grande (UFCG)
36,36,Federal University of Campina Grande (UFCG)
37,37,Federal University of Campina Grande (UFCG)
38,38,"Fed. Univ. of Campina Grande, Brazil"
39,39,"Fed. Univ. of Campina Grande, Brazil"
40,40,"Fed. Univ. of Campina Grande, Brazil"
41,41,"Pontificia Universidade Catolica do Rio de Janeiro, Rio de Janeiro, RJ, BR"
42,42,"Pontifical Catholic University of Rio de Janeiro, Brazil"
43,42,"Rio de Janeiro State University, Brazil"
44,43,"Pontificia Universidade Catolica do Rio de Janeiro, Rio de Janeiro, RJ, BR"
45,44,"Pontifical Catholic University of Rio de Janeiro, Brazil"
46,45,"Universidade Federal do Pampa, Bage, RS, BR"
47,46,"Universidade Federal do Pampa (UNIPAMPA), Alegrete, Rio Grande do Sul, Brasil"
48,47,"Departamento de Computacao Aplicada-DCOM, Universidade Federal de Santa Maria (UFSM), Santa Maria, Brasil"
49,48,"Instituto de Matemática e Estatística-IME, Universidade de São Paulo-USP, São Paulo, SP, Brasil"
50,49,"Fac. Gama, Univ. de Brasilia, Brasilia, DF, BR"
51,50,"Speech and Signal Processing-CVSSP, University of Surrey, Guildford, UK"
52,51,"Instituto de Matemática e Estatística-IME, Universidade de São Paulo-USP, São Paulo, SP, Brasil"
53,52,"Laboratory of Computer Applications for HealthCare, University of Sâo Paulo, São Paulo, Brazil"
54,53,"Laboratory of Computer Applications for HealthCare, University of Sâo Paulo, São Paulo, Brazil"
55,54,"Laboratory of Computer Applications for HealthCare, University of Sâo Paulo, São Paulo, Brazil"
56,55,"Laboratory of Computer Applications for HealthCare, University of Sâo Paulo, São Paulo, Brazil"
57,56,"Universidade Estadual de Campinas, Campinas, SP, BR"
58,57,"Institute of Computing, University of Campinas (UNICAMP) Campinas, Brazil"
59,58,"Department of Computer Science and Statistics (DCCE), São Paulo State University (UNESP), São José do Rio Preto, Brazil"
60,59,"Department of Computer Science and Statistics (DCCE), São Paulo State University (UNESP), São José do Rio Preto, Brazil"
61,60,"Department of Computer Science and Statistics (DCCE), São Paulo State University (UNESP), São José do Rio Preto, Brazil"
62,61,"Department of Computer Science and Statistics (DCCE), São Paulo State University (UNESP), São José do Rio Preto, Brazil"
63,62,"Fed. Univ. of Uberlandia, Uberlandia, MG, BR"
64,63,"Dept. of Comput. Sci. & Stat., Sao Paulo State Univ., Uberlândia, Brazil"
65,64,"Computer Science Department, Federal University of Ceará (UFC), Fortaleza, Brazil"
66,65,"Computer Science Department, Federal University of Ceará (UFC), Fortaleza, Brazil"
67,66,"Computer Science Department, Federal University of Ceará (UFC), Fortaleza, Brazil"
68,67,"Computer Science and Engineering Department, NYU-Poly, New York City, US"
69,68,"Computer Science and Engineering Department, NYU-Poly, New York City, US"
70,69,"Computer Science Dept., UFSCar, S. Carlos, SP, Brazil"
71,70,"Computer Science Dept., UFSCar, S. Carlos, SP, Brazil"
72,71,"Computer Science Dept., UFSCar & FACCAMP, SP, Brazil"
73,72,"Computer Sciences Department, Federal University of São Carlos (UFSCAR), São Carlos, SP, Brazil"
74,72,"Federal Institute of São Paulo, SP, Brazil"
75,73,"Fed. Inst. of Sao Paulo - Campus Boituva, Brazil"
76,74,"Comput. Sci. Dept., Fed. Univ. of Sao Carlos, Sao Carlos, SP, BR"
77,75,"Computer Sciences Department, Federal University of São Carlos (UFSCAR), São Carlos, SP, Brazil"
78,76,"Vsoft thechnologies, João Pessoa, PB, Brasil"
79,77,"Vsoft thechnologies, João Pessoa, PB, Brasil"
80,78,"Vsoft thechnologies, João Pessoa, PB, Brasil"
81,79,"Centro de Informática-CI, Universidade Federal de Campina Grande-UFCG, Campina Grande, PB, Brasil"
82,80,"VSoft Tecnologia, João Pessoa, PB, Brasil"
83,81,"VSoft Tecnologia, João Pessoa, PB, Brasil"
84,82,"VSoft Tecnologia, João Pessoa, PB, Brasil"
85,83,"VSoft Tecnologia, João Pessoa, PB, Brasil"
86,84,"Centro de Informática, CI Universidade Federal de Campina Grande-UFCG, Campina Grande, PB, Brasil"
87,85,"Informatics Center-CI, Federal University of Paraíba-UFPB, João Pessoa, Brazil"
88,86,"Informatics Center-CI, Federal University of Paraíba-UFPB, João Pessoa, Brazil"
89,87,"VSoft Tecnologia, João Pessoa, PB, Brasil"
90,88,"VSoft Tecnologia, João Pessoa, PB, Brasil"
91,89,"VSoft Tecnologia, João Pessoa, PB, Brasil"
92,90,"Comput. Sci. Dept., Pontificia Universidade Catolica de Minas Gerais, Belo Horizonte, MG, BR"
