id,id_paper,reference
0,2,"M. Alexa, ""Differential coordinates for local mesh morphing and deformation"", The Visual Computer, vol. 19, no. 2–3, pp. 105-114, 2003."
1,2,"B. Allen, B. Curless and Z. Popovic, ""Articulated body deformation from range scan data"", ACM Trans. Graph., vol. 21, no. 3, pp. 612-619, 2002."
2,2,"B. Allen, B. Curless and Z. Popovic, ""The space of humanbody shapes: reconstruction and parameterization from range scans"", ACM Trans. Graph., vol. 22, no. 3, pp. 587-594, 2003."
3,2,"D. Anguelov, P. Srinivasan, D. Koller, S. Thrun, J. Rodgers and J. Davis, ""Scape: shape completion and animation of people"", ACM Trans. Graph., vol. 24, no. 3, pp. 408-416, 2005."
4,2,"N. Badler, D. Metaxas and N. Magnenat Thalmann, Virtual Humans. Morgan Kaufmann, 1999."
5,2,"B. Bodenheimer, C. Rose, S. Rosenthal and J. Pella, ""The process of motion capture: Dealing with the data"", Computer Animation and Simulation 97, pp. 3-18, Sept. 1997."
6,2,"S. R. Buss and J. P. Fillmore, ""Spherical averages and applications to spherical splines and interpolation"", ACM Trans. Graph., vol. 20, no. 2, pp. 95-126, 2001."
7,2,"J. Davis, M. Agrawala, E. Chuang, Z. Popovic and D. Salesin, ""A sketching interface for articulated figure animation"", Proc. of SCA 03, pp. 320-328, 2003."
8,2,"M. Desbrun, M. Meyer and P. Alliez, ""Intrinsic parameterizations of surface meshes"", Computer Graphics Forum (Proc. Eurographics), vol. 21, no. 3, pp. 209-218, 2002."
9,2,"P. Faloutsos, M. van de Panne and D. Terzopoulos, ""The virtual stuntman: dynamic characters with a repertoire of autonomous motor skills"" in , Computers and Graphics, vol. 25, no. 6, pp. 933-953, 2001."
10,2,"A. C. Fang and N. S. Pollard, ""Efficient synthesis of physically valid human motion"", ACM Trans. Graph., vol. 22, no. 3, pp. 417-426, 2003."
11,2,"M. Gleicher, ""Retargetting motion to new characters"", Proc. of ACM SIGGRAPH, pp. 33-42, 1998."
12,2,"L. Herda, P. Fua, R. Plänkers, R. Boulic and D. Thalmann, ""Skeleton-based motion capture for robust reconstruction of human motion"", CA 00: Proc. of the Computer Animation, pp. 77ff, 2000."
