id,id_author,university
0,2,"Department of Electrical, Rensselaer Polytechnic Institute, Troy, NY, USA"
1,3,"Department of Electrical, Rensselaer Polytechnic Institute, Troy, NY, USA"
2,4,"Institute of Computing, University of Campinas (UNICAMP), Campinas, São Paulo, Brazil"
3,5,"Institute of Computing, University of Campinas (UNICAMP), Campinas, São Paulo, Brazil"
4,6,"Dept. of Computer Science and Engineering, University of South Florida (USF), Tampa, FL, USA"
5,7,"Institute of Computing, University of Campinas (UNICAMP), Campinas, São Paulo, Brazil"
6,10,"School of Engineering, Brown University"
7,11,"Institute of Mathematic Sciences and Computing, ICMC-USP"
8,12,"Institute of Computing, IC-UNICAMP"
9,13,"Department of Computing, Universidade Federal do Ceará, Fortaleza, CE, Brazil"
10,14,"Department of Computing, Universidade Federal do Ceará, Fortaleza, CE, Brazil"
11,15,"Department of Computing, Universidade Federal do Ceará, Fortaleza, CE, Brazil"
12,16,"Computer Science Department, Pontifícia Universidade Católica do Rio Grande do Sul, RS, Brazil"
13,17,"Huddle Group S.A., Argentina"
14,18,"Programa de Engenharia de Sistemas e Computação, COPPE / Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil"
15,20,"Programa de Engenharia de Sistemas e Computação, COPPE / Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil"
16,21,"Programa de Engenharia de Sistemas e Computação, COPPE / Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil"
17,22,"COPPE, Federal University of Rio de Janeiro"
18,23,"COPPE, Federal University of Rio de Janeiro"
19,24,"COPPE, Federal University of Rio de Janeiro"
20,26,"Institute of Informatics, Federal University of Rio Grande do Sul"
21,27,"Universidade Federal de Juiz de Fora ICE/DCC, Juiz de Fora, Brazil"
22,28,"Universidade Federal de Minas Gerais ICEx/DCC, Belo Horizonte, Brazil"
23,29,"Universidade Federal de Juiz de Fora ICE/DCC, Juiz de Fora, Brazil"
24,30,"Universidade Federal de Juiz de Fora ICE/DCC, Juiz de Fora, Brazil"
25,32,"Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, RJ, Brazil"
26,33,"Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, RJ, Brazil"
27,34,"Departamento de Informática, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, RJ, Brazil"
28,35,"Departamento de Engenharia Elétrica, Pontifícia Universidade Católica do Rio de Janeiro, Rio de Janeiro, RJ, Brazil"
29,37,"Institute of Informatics-Federal, University of Rio Grande do Sul"
30,38,"FACOM — UFMS, Campo Grande"
31,39,"ICMC — USP, São Carlos"
32,40,"ICMC — USP, São Carlos"
33,41,"ICMC — USP, São Carlos"
34,42,"ICMC — USP, São Carlos"
35,43,"ICMC — USP, São Carlos"
36,44,"UFRGS, Brazil"
37,45,"UFRGS, Brazil"
38,46,"UFFS, Brazil"
39,47,"IPA, Brazil"
40,48,"NYU-Poly, USA"
41,49,"Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos/SP, Brazil"
42,50,"Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos/SP, Brazil"
43,51,"Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo, São Carlos/SP, Brazil"
44,52,"LNCC, National Laboratory for Scientific Computing, Petropolis, Brazil"
45,53,"LNCC, National Laboratory for Scientific Computing, Petropolis, Brazil"
46,54,"Department of Electrical Engineering, FEI, São Bernardo do Campo, Brazil"
47,58,"LIGM ESIEE - UPEMLV - CNRS, Université Paris-Est"
48,59,"LIGM ESIEE - UPEMLV - CNRS, Université Paris-Est"
49,60,"LIGM ESIEE - UPEMLV - CNRS, Université Paris-Est"
50,61,"Computer Science Department – ICEI – PUC Minas, Audio-Visual Information Proc. Lab. (VIPLAB)"
51,62,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil"
52,63,"Departamento de Ciência da Computação, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil"
53,64,"Universidade Federal de Minas Gerais, Belo Horizonte, MG, BR"
54,65,"Departamento de Ciência da Computação, Universidade Federal de Juiz de Fora, Juiz de Fora, Brazil"
55,66,"Dept. of Comput., Sao Paulo State Univ., Bauru, Brazil"
56,67,"Department of Computing, São Paulo State University, Bauru, Brazil"
57,68,"Institute of Computing, University of Campinas, Campinas, Brazil"
58,69,"Institute of Computing, University of Campinas, Campinas, Brazil"
59,70,"Institute of Computing, Federal University of Mato Grosso do Sul, Campo Grande, Brazil"
60,71,"Department of Statistics, Applied Mathematics and Computing, State University of São Paulo (UNESP), Rio Claro, Brazil"
61,72,"Recod Lab - Institute of Computing, University of Campinas (UNICAMP), Campinas, Brazil"
62,73,"Universidade de Sao Paulo, Sao Paulo, SÃ£o Paulo, BR"
63,74,"Department of Computer Science, University of São Paulo, São Paulo, Brazil"
64,75,"Department of Computer Science, University of São Paulo, São Paulo, Brazil"
65,76,"Department of Computer Science, University of São Paulo, São Paulo, Brazil"
66,77,"ATVS - Biometric Recognition Group, Universidad Autonoma de Madrid (UAM), Madrid, Spain"
67,78,"ATVS - Biometric Recognition Group, Universidad Autonoma de Madrid (UAM), Madrid, Spain"
68,79,"ATVS - Biometric Recognition Group, Universidad Autonoma de Madrid (UAM), Madrid, Spain"
69,80,"ATVS - Biometric Recognition Group, Universidad Autonoma de Madrid (UAM), Madrid, Spain"
70,81,"Center for Electrical Engineering and Informatics (CEEI), Federal University of Campina Grande (UFCG), Paraíba, Brazil"
71,82,"Center for Electrical Engineering and Informatics (CEEI), Federal University of Campina Grande (UFCG), Paraíba, Brazil"
