id,title,year
0,ICONUS – Sistema Gerenciador de Interfaces Gráficas ,1990
1,Interpretação Gráfica de resultados no Sistema Gaeli ,1990
2,GAMAT2 – Gerador automático de malhas triangulares de elementos finitos lineares e quadráticos ,1990
3,Concepção de um sistema de auxílio ao projeto de forjados por computador ,1990
4,ELSI - Estação Pessoal Gráfica ,1990
5,A calibração de parâmetros para um sistema de reconhecimento ,1990
6,Programação lógica na elaboração de diagramas unifilares ,1990
7,"Simulador de baixo custo para controle local de aeródromo, apoiado por microcomputadores ",1990
8,MOL3D: um sistema gráfico de apoio à visualização do comportamento espacial de estruturas moleculares ,1990
9,Um sistema de tratamento e classificação de imagens de satélites ,1990
10,"Reconocimiento de formas mediante coordenadas logpolares com invariância e translaciones, rotaciones y escalajes ",1990
11,Descrição do Sistema IMAGO para processamento digital de imagens ,1990
12,TECGRAF: uma experiência de desenvolvimento de software na PUC-RIO ,1990
13,MOD – Um pequeno modelador de sólidos B-rep¹ ,1990
14,Descrição e análise de funcionalidades da estação de trabalho EG-8801 ,1990
15,Sistema multitransputador para aplicações gráficas ,1990
16,Gerência de projeto e mecanismos gráficos de consulta à base de dados do sistema AMPLO ,1990
17,Convolucionador de imagens ,1990
18,Determinação da orientação de superfícies pela iluminação natural ambiente ,1990
19,Desenvolvimento de um sistema gráfico para o processamento e visualização de imagens tomográficas obtidas por ressonância magnética ,1990
20,GRAFIM: Programa para análise de imagens tomográficas ,1990
21,Um método para triangularização de pontos no espaço tri-dimensional ,1990
22,Armazenamento de mapas poligonais utilizando estruturas quadtree ,1990
23,Filtragem de curvas e superfícies splines ,1990
24,Interpolação de curvas e superfícies por splines de grau arbitrário ,1990
25,Uso de redes artificiais de neurônios lineares para o treinamento e o reconhecimento e caracteres com rotação ,1990
26,Uma proposta de reconhecimento de caracteres utilizando correlação com máscaras binárias (Binary template Matching) ,1990
27,Sistema automático de reconhecimento óptico de caracteres a partir de um conjunto de exemplos ,1990
28,Reconhecimento automático de caracteres impressos ,1990
29,Aplicação de radiosidade à síntese de imagens de objetos formados por superfícies curvas ,1990
30,Um algoritmo de remoção de linhas ocultas ,1990
31,Algoritmos para exibição de imagens coloridas ,1990
32,“Ray tracing” otimizado de sólidos CSG usando OCTREES ,1990
33,Imprimindo imagens coloridas em um dispositivo monocromático ,1990
34,A computer model for pinscreen simulation ,1990
35,PGC - Um processador gráfico concorrente ,1990
36,Compressão de imagens por blocos unidimensionais lineares ,1990
37,Uso do fluxo ótico na segmentação de sequências de imagens ,1990
38,O uso da cor no processamento digital de imagens ,1990
39,Analysis of the performance of morphological edge detectors with respect to edge orientation and displacement ,1990
40,Dizimação e interpolação progressivas para codificação em pirâmide ,1990
41,O operador de Roberts: uma implementação utilizando tecnologia CMOS para deteção de bordas em tempo real ,1990
42,Estudo dos parâmetros influentes na calibração de uma câmera CCD: uma abordagem prática ,1990
43,Um processador dedicado para deteção de bordas ,1990
44,Um sistema de visão binária para reconhecimento de peças isoladas e parcialmente oclusas ,1990
