id,id_author,university
0,0,Instituto de Matemática Pura e Aplicada (IMPA)
1,1,University of Toronto
2,2,PROMON Engenharia
3,3,Departamento de Engenharia Mecânica da Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio)
4,4,Departamento de Engenharia Mecânica da Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio)
5,5,Instituto de Matemática Pura e Aplicada (IMPA)
6,6,Instituto de Matemática Pura e Aplicada (IMPA)
7,7,Instituto de Matemática Pura e Aplicada (IMPA)
8,8,Instituto de Matemática Pura e Aplicada (IMPA)
9,9,IBM Brasil – Centro Científico Rio
10,10,IBM Brasil – Centro Científico Rio
11,11,Instituto Tecnológico de Aeronáutica (ITA)
12,12,Instituto Nacional de Pesquisas Espaciais (INPE)
13,13,Instituto Nacional de Pesquisas Espaciais (INPE)
14,14,Divisão de Informática Médica do Instituto do Coração/HCFMUSP
15,15,Departamento de Engenharia de Eletricidade da Escola Politécnica da Universidade de São Paulo (USP)
16,16,Departamento de Engenharia Elétrica da Universidade de Brasília (UNB)
17,17,Departamento de Engenharia Elétrica da Universidade de Brasília (UNB)
18,18,Departamento de Engenharia Elétrica da Universidade de Brasília (UNB)
19,19,Instituto Nacional de Pesquisas Espaciais (INPE)
20,20,Instituto Nacional de Pesquisas Espaciais (INPE)
21,21,Instituto de Matemática Pura e Aplicada (IMPA)
22,22,Instituto de Matemática Pura e Aplicada (IMPA)
23,23,Facultad de Ingeniería da Universidad de Buenos Aires
24,24,Departamento de Informática da Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio)
25,25,Departamento de Informática da Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio)
26,26,Instituto de Matemática Pura e Aplicada (IMPA)
27,27,Instituto de Matemática Pura e Aplicada (IMPA)
28,28,Departamento de Engenharia Civil e ICAD – Laboratório de CAD Inteligente da Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio)
29,29,Fundação Centro Tecnológico para Informática (CTI)
30,30,Faculdade de Engenharia Elétrica (FEE) da Universidade Estadual de Campinas (UNICAMP)
31,31,Faculdade de Engenharia Elétrica (FEE) da Universidade Estadual de Campinas (UNICAMP)
32,32,Faculdade de Engenharia Elétrica (FEE) da Universidade Estadual de Campinas (UNICAMP)
33,33,Faculdade de Engenharia Elétrica (FEE) da Universidade Estadual de Campinas (UNICAMP)
34,34,University of Pennsylvania
