id,id_author,university
0,0,"Fraunhofer Inst. of Comput. Graphics, Tech. Univ. of Darmstadt, Germany"
1,1,"Inst. de Comput., Univ. Estadual de Campinas, Sao Paulo, Brazil"
2,3,"IMPA-Instituto de Matemática Pura e Aplicada, Brazil"
3,4,"IMPA-Instituto de Matemática Pura e Aplicada, Brazil"
4,5,"North Carolina State University, Chapel Hill, NC, USA"
5,6,"North Carolina State University, Chapel Hill, NC, USA"
6,7,"Department of Civil Engineering and Computer Graphics Technology Group (TeCGraf), Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil"
7,8,"Computation Department, Federal University of Ceara, Fortaleza, Ceara, Brazil"
8,9,"Department of Civil Engineering and Computer Graphics Technology Group (TeCGraf), Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Rio de Janeiro, Brazil"
9,10,"Instituto de Informática, Programa de Pós-Graduação em Computação, Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, Brazil"
10,11,"Instituto de Matemática, Curso de Pós-Graduação em Matemática-CPGMat, Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, Brazil"
11,12,"Instituto de Informática, Programa de Pós-Graduação em Computação, Universidade Federal do Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, Brazil"
12,13,"LCG-Laboratório de Computação Gráfica, COPPE-Sistemas/UFRJ, Rio de Janeiro, Rio de Janeiro, Brazil"
13,13,"VISGRAF Laboratory, IMPA-Instituto de Matemática Pura e Aplicada, Rio de Janeiro, Rio de Janeiro, Brazil"
14,14,"VISGRAF Laboratory, IMPA-Instituto de Matemática Pura e Aplicada, Rio de Janeiro, Rio de Janeiro, Brazil"
15,15,"VISGRAF Laboratory, IMPA-Instituto de Matemática Pura e Aplicada, Rio de Janeiro, Rio de Janeiro, Brazil"
16,16,"VAST Laboratory, University of Pennsylvania, Philadelphia, PA, USA"
17,17,"University of Utah, Salt Lake, UT, USA"
18,18,"Graduate School of Architecture, University of Utah, Salt Lake, UT, USA"
19,19,"Jordani Multimedia, Inc., Minneapolis, MN, USA"
20,20,"Center for High Performance Computing, University of Utah, Salt Lake, UT, USA"
21,21,"School of Medicine, University of Utah, Salt Lake, UT, USA"
22,22,"Dept. of Comput. Sci., PUC-Rio, Rio de Janeiro, Brazil"
23,23,"Department of Computer Science, PUC-Rio, Rua Marquês de São Vicente 225, Rio de Janeiro, Rio de Janeiro, Brazil"
24,24,"LNCC-Laboratório Nacional de Computação Científica, Petropolis, Rio de Janeiro, Brazil"
25,25,"Departamento de Informática, PUC-Rio, TeCGraf-Grupo de Tecnologia em Computação Gráfica, Rio de Janeiro, Rio de Janeiro, Brazil"
